username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
genersocue;2015-08-27 01:04;0;0;"The WTO Agreement and Indian Agriculture 2006 by Anwarul Hoda 8187358076 … http://great-offers-o nline-palatial-auction.newoffers.info/buy/01/?query= 331638612547 … pic.twitter.com/Vuf2NJNkam";;;;"636622708172787712";https://twitter.com/genersocue/status/636622708172787712
EklaspurShiv;2015-08-26 17:35;0;0;"I hope your Ten year tenure as @PMOIndia will change Indian agriculture from monsoon dependent to monsoon independent. #KalsaBanduriNala";;@PMOIndia;#KalsaBanduriNala;"636509820682526720";https://twitter.com/EklaspurShiv/status/636509820682526720
menka107094;2015-08-26 14:32;0;2;"@drusawasthi R/S Congrats! This is a unique revolution in Indian Agriculture & a sure quality assurance to the farmers.";;@drusawasthi;;"636463742037835780";https://twitter.com/menka107094/status/636463742037835780
navin_nath;2015-08-26 13:30;0;2;"@drusawasthi Sir, IFFCO-MC will change the dimension of Pesticide market and will revolutionalised the Indian Agriculture .";;@drusawasthi;;"636448226187476992";https://twitter.com/navin_nath/status/636448226187476992
jyotsnak86;2015-08-25 15:42;0;0;"And here it is.Drone in usmanabad for doing crop yield http:// estmn.New tech in indian agriculture #heyskymet https:// twitter.com/meghp12/status /636100728826687489 …";;;#heyskymet;"636118951093645312";https://twitter.com/jyotsnak86/status/636118951093645312
TEngelmeier;2015-08-25 13:32;0;0;"" Indian agriculture is both under-irrigated (net irrigated area only 45%) and over-irrigated (60%+ from groundwater)" http://www. business-standard.com/article/opinio n/arunabha-ghosh-shalu-agrawal-sustainable-solar-irrigation-115081701282_1.html …";;;;"636086238982873088";https://twitter.com/TEngelmeier/status/636086238982873088
yuvaarajshinde;2015-08-25 08:00;0;0;"#Bazaar revolution in #Indian #Agriculture : 1. Discontinue inter-state #octroi taxes on transport of farm produce @PMOIndia @narendramodi";Mumbai, India;@PMOIndia @narendramodi;#Bazaar #Indian #Agriculture #octroi;"636002604955369473";https://twitter.com/yuvaarajshinde/status/636002604955369473
Pathh1;2015-08-24 16:51;0;1;"Indian Agriculture : Where Are We Headed? from @GreenFork http://www. indianbotanists.com/2015/08/indian -agriculture-where-are-we-headed.html …";;@GreenFork;;"635773825578364928";https://twitter.com/Pathh1/status/635773825578364928
saxenasanju99;2015-08-23 17:58;0;0;"More scope 4 Innovations in " Indian Agriculture Fields" than IT or,just 2 create apps for services/product deliveries. @imovement @innovgen";Bengaluru South, India;@imovement @innovgen;;"635428518487134208";https://twitter.com/saxenasanju99/status/635428518487134208
crc8;2015-08-23 09:44;2;0;""As long as I can remember, #Indian #Agriculture been beset with problems"[ @greenfork ] http://www. indianbotanists.com/2015/08/indian -agriculture-where-are-we-headed.html … @IndianBotanists #feedingIndia";;@greenfork @IndianBotanists;#Indian #Agriculture #feedingIndia;"635303970769006592";https://twitter.com/crc8/status/635303970769006592
