username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Hamelin1;2016-03-10 03:45;0;0;"India Cuts Cotton Seed Royalty Fees: India 's Ministry of Agriculture and Farmers Welfare ... http:// bit.ly/1UfO5dM #biotechews #biotech";;;#biotechews #biotech;"707691368789872640";https://twitter.com/Hamelin1/status/707691368789872640
PairsonnalitesA;2016-03-10 03:23;0;0;"Kellogg's new push to help women smallholder farmers - In India , for instance, Kellogg estimates that 23,258 s... http:// bit.ly/1TMrwiH";;;;"707685652335165440";https://twitter.com/PairsonnalitesA/status/707685652335165440
coolmyplanet;2016-03-10 03:20;9;7;"Inspiring women farmers who are making India a better place... http:// bit.ly/1p4JVd1 pic.twitter.com/SsSFFThYY8";;;;"707684963051765760";https://twitter.com/coolmyplanet/status/707684963051765760
suprgeek;2016-03-10 00:54;2;1;"Very interesting #startup from #India - Kisan Network http:// techcrunch.com/2016/03/09/y-c ombinator-backed-kisan-network-is-transforming-the-rural-indian-agricultural-market/ … Changing how farmers get produce to market cc @punetech";;@punetech;#startup #India;"707648305002512384";https://twitter.com/suprgeek/status/707648305002512384
social_Gunjan;2016-03-10 00:19;7;4;"Irony of the situation is. Our Farmers in India are suiciding because they cannot repay the loan amount of Rs 1 lakh. #MallyaEscapes";;;#MallyaEscapes;"707639528257761280";https://twitter.com/social_Gunjan/status/707639528257761280
HindolSengupta;2016-03-09 23:36;20;17;"If Monsanto leaves, India should rejoice and promote farmers like Subhas Palekar and their work. https:// twitter.com/firstpost/stat us/707628155591208960 …";;;;"707628652117123072";https://twitter.com/HindolSengupta/status/707628652117123072
ocblues;2016-03-09 23:27;0;0;"Truly horrible rapes and hundreds of thousands of suicides of farmers . Plus no toilets. A horrible country in most respects. INDIA";;;;"707626306746253312";https://twitter.com/ocblues/status/707626306746253312
MSalimEngineer;2016-03-09 23:14;3;6;"Huge exemption if taxes for corporate. Vijay Malya flees India . Our govt. Didnot wave off debts on famer. Farmers committing suicide.";New Delhi, India;;;"707623209378525185";https://twitter.com/MSalimEngineer/status/707623209378525185
Bharat_Putra;2016-03-09 21:55;0;0;"2 Poor Farmers of India happy after realising #Budget2016 is pro poor and pro farmer #MallyaEscapes pic.twitter.com/k64REI0Q3t";;;#Budget2016 #MallyaEscapes;"707603296689774593";https://twitter.com/Bharat_Putra/status/707603296689774593
PIB_India;2016-03-09 21:18;6;16;"Fix a Uniform Price of Bt Cotton Seed Across the Country for the Benefit of Farmers -Radha Mohan Singh http:// tinyurl.com/h3qr5vx";;;;"707593836432785408";https://twitter.com/PIB_India/status/707593836432785408
raju;2016-03-09 21:16;4;2;"A @YouTube video goes viral, forcing @Unilever to settle with hundreds of India farmers https:// twitter.com/financialtimes /status/707592731191877633 …";;@YouTube @Unilever;;"707593488221782016";https://twitter.com/raju/status/707593488221782016
rajakitchener;2016-03-09 21:09;0;2;"Great to see technology helping India 's rural farmers get fair trade for their agriculture - http:// techcrunch.com/2016/03/09/y-c ombinator-backed-kisan-network-is-transforming-the-rural-indian-agricultural-market/ … pic.twitter.com/Tk5t4m9pGe";;;;"707591583286366208";https://twitter.com/rajakitchener/status/707591583286366208
GuRuth;2016-03-09 19:33;0;0;"Primar­­­­­­­­­­­k scales up sustainable cotton program to recruit 10K female smallholder farmers in India via @edie http:// ow.ly/ZfM0B";;@edie;;"707567439157059584";https://twitter.com/GuRuth/status/707567439157059584
jab9777;2016-03-09 18:53;3;0;"The largest cause of farmer suicides is rural indebtedness. What has this Govt done to help India 's farmers ? @ghulamnazad";;@ghulamnazad;;"707557537223081990";https://twitter.com/jab9777/status/707557537223081990
