username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
elena_valdameri;2015-10-21 20:40;0;1;"@subyroy I deem N Kumar one of India 's best politicians. Didn't know about bikes 4 girls. Empowerment is impossible without political will.";;@subyroy;;"656850124488994816";https://twitter.com/elena_valdameri/status/656850124488994816
UNRISD;2015-10-21 16:23;0;0;"#UNRISDSeminar N. Rao: Our researchers in China, India and Indonesia are also activists, so allowed for self-reflection and empowerment";;;#UNRISDSeminar;"656785350631800833";https://twitter.com/UNRISD/status/656785350631800833
VedantaF;2015-10-21 13:41;2;5;"Words from our CEO, Dr.Lona Nayak regarding Self-Defence , #Social & #Financial #Empowerment of #Women #India pic.twitter.com/1EX5XEU9w4";;;#Social #Financial #Empowerment #Women #India;"656744536748724224";https://twitter.com/VedantaF/status/656744536748724224
Pankajamunde;2015-10-21 09:08;18;51;"Flagged off Quadrilateral Marathon (6010 kms) of Michelle Kakade from Gateway of India to support women empowerment pic.twitter.com/NvWcmsLEpr";;;;"656675849580736513";https://twitter.com/Pankajamunde/status/656675849580736513
CirculR;2015-10-20 12:47;6;3;"India #circulareconomy -Oorja combines local empowerment and #cleanenergy production: http:// bit.ly/1M3ZJqw #COP21 pic.twitter.com/QgSXEE8Y9Z";;;#circulareconomy #cleanenergy #COP21;"656368700300222464";https://twitter.com/CirculR/status/656368700300222464
trehan_barkha;2015-10-20 12:23;16;4;"#WakeUpModiJi Support #GENDEREQUALITY Make India free 4m fakecases Fake women empowerment killing nation pic.twitter.com/W0tn2wHvna @HMOIndia";;@HMOIndia;#WakeUpModiJi #GENDEREQUALITY;"656362626616655872";https://twitter.com/trehan_barkha/status/656362626616655872
McCormickSem;2015-10-19 19:32;0;1;"Join us for #GlobalConversation TOMORROW at noon and hear about community empowerment in South India . pic.twitter.com/gNAvxE6aMU";;;#GlobalConversation;"656108235355758592";https://twitter.com/McCormickSem/status/656108235355758592
AnimalRightsJen;2015-10-19 13:50;0;1;"#India #Women Women Empowerment Themed Durga Pujas: Maruti Vihar Sarbojanin Durgotsav (MV... http:// bit.ly/1ZQ4MPE #Feminism #Uniteblue";;;#India #Women #Feminism #Uniteblue;"656022195643088896";https://twitter.com/AnimalRightsJen/status/656022195643088896
coro_india;2015-10-19 13:07;16;15;"#Land #Forest #River #water rights to ppl, #humanrights #Women empowerment #gender sensitisation #LeadershipFestival pic.twitter.com/0rU3jbWoNT";;;#Land #Forest #River #water #humanrights #Women #gender #LeadershipFestival;"656011379262910464";https://twitter.com/coro_india/status/656011379262910464
india_links;2015-10-19 12:41;0;0;"Women Empowerment Themed Durga Pujas http:// dlvr.it/CTpR3y";;;;"656004660084408321";https://twitter.com/india_links/status/656004660084408321
Optimist_Chic;2015-10-19 11:53;0;0;"Ooohh women empowerment by @OfficeOfRG -- hey #pappu you still in India or left for refill https:// twitter.com/ibnlive/status /655979317671780352 …";;@OfficeOfRG;#pappu;"655992635350380544";https://twitter.com/Optimist_Chic/status/655992635350380544
ReshThakkar;2015-10-19 06:53;1;6;"@Jacqster27 I decided to start an empowerment project for women and girls in India :) #belief #explorerquest #theseekers";;@Jacqster27;#belief #explorerquest #theseekers;"655917054537674756";https://twitter.com/ReshThakkar/status/655917054537674756
ReshThakkar;2015-10-19 06:44;0;2;"@kiki_baxter Hi to grandma! I moved to CA, started an empowerment project in India ( @stitch4change ) and am loving LIFE, staying present.";;@kiki_baxter @stitch4change;;"655914801143619588";https://twitter.com/ReshThakkar/status/655914801143619588
ScrewedbyState;2015-10-18 22:18;4;1;"Empowerment - "Women in Congress perform sexual favours to get party ticket" http:// indianexpress.com/article/india/ india-others/women-in-congress-perform-sexual-favours-to-get-party-ticket-cherian-philip/ … #India #Kerala";;;#India #Kerala;"655787437562589185";https://twitter.com/ScrewedbyState/status/655787437562589185
m2k_kastoor;2015-10-18 18:09;0;0;""Asmita" movement to work for girls' dignity, empowerment - India News Analysis Opinions on Niti Central http:// news.niticentral.com/2015/10/09/asm ita-movement-to-work-for-girls-dignity-empowerment/ …";;;;"655724855954817024";https://twitter.com/m2k_kastoor/status/655724855954817024
dfnuk;2015-10-18 15:50;1;0;"Education is key strategy to prevent #modernslavery in India - help us #FreeAChild http:// dfn.org.uk/freeachild #AntiSlaveryDay #empowerment";;;#modernslavery #FreeAChild #AntiSlaveryDay #empowerment;"655689839808020480";https://twitter.com/dfnuk/status/655689839808020480
trehan_barkha;2015-10-18 12:42;73;19;"#ConfessionNight What about her Father n Brother ?? Fake women empowerment will ruin India . #VAMBAM Save males pic.twitter.com/8uYd22Avbz";;;#ConfessionNight #VAMBAM;"655642548728279040";https://twitter.com/trehan_barkha/status/655642548728279040
ashok_k009;2015-10-18 01:58;0;0;"After women empowerment C Abla nari ka kamal.V know nothing wil happen dis nari...It happens only in INDIA https:// twitter.com/satyaprakash14 u/status/655396954025791488 …";;;;"655480577756303360";https://twitter.com/ashok_k009/status/655480577756303360
vlmehra;2015-10-17 19:05;3;3;"#Vision2020 investing on Empowerment of Youth, Employed India , Proper Affordable Education, Healthcare & Productive Professionals.";;;#Vision2020;"655376530210734081";https://twitter.com/vlmehra/status/655376530210734081
rajesh2523973;2015-10-17 18:31;0;1;"@architaur Like the verdict of SC about NJAC Matter. I want only public empowerment and pure Democratic System in my Bihar and India . Oh God";Munger, India;@architaur;;"655368129464238080";https://twitter.com/rajesh2523973/status/655368129464238080
Sachin_Chat;2015-10-17 12:40;0;0;"Rajasthan witnessing Village Empowerment ... with power Clear march for SDGs @PiyushGoyal @VasundharaBJP @UNDP_ India https:// twitter.com/ResurgentRaj/s tatus/655278342640263168 …";;@PiyushGoyal @VasundharaBJP @UNDP_;;"655279774315626496";https://twitter.com/Sachin_Chat/status/655279774315626496
fozail007;2015-10-16 23:25;9;1;"Khattar nahi kattar CM if you have the guts talk about development, women empowerment Stop dividing India . #KhattarProvokesHatred";;;#KhattarProvokesHatred;"655079757621518336";https://twitter.com/fozail007/status/655079757621518336
gailindia;2015-10-16 20:30;0;0;"96% villages in India are electrified, therefore resulting in women empowerment . Click to know more: http:// bit.ly/1OwJbq2";;;;"655035577553719297";https://twitter.com/gailindia/status/655035577553719297
coro_india;2015-10-16 19:49;11;12;"Meet Anwari,Shakila,Nasimunnisa,Nadira,Saher, @mumtajcorommf n few others who work wit Muslim women on empowerment ,FB pic.twitter.com/a3RemrdFfn";Mumbai, India;@mumtajcorommf;;"655025281762115584";https://twitter.com/coro_india/status/655025281762115584
INDIACSR;2015-10-16 11:56;0;1;"Hindalco Conducts Workshop on Women Empowerment through SHGs | INDIA CSR | India 's Largest CSR... http:// fb.me/1XgyQDMca";;;;"654906249100681216";https://twitter.com/INDIACSR/status/654906249100681216
TraceySpicer;2015-10-16 09:33;2;4;"Terrific stories being told about women's empowerment in India . We need to change the system. @ChristineYate17 #HighTeaDebate";;@ChristineYate17;#HighTeaDebate;"654870214933286912";https://twitter.com/TraceySpicer/status/654870214933286912
factorator;2015-10-16 01:48;5;4;"India is a beehive For Jupiter's velocity we strive Politics is in our shirt and pant Empowerment should be our only rant #AkademiPoetry";Mumbai, India;;#AkademiPoetry;"654753280065601536";https://twitter.com/factorator/status/654753280065601536
hiindustanii;2015-10-15 22:30;0;1;"India has long way to go on gender equality the word woman empowerment ' abused by politicians 4eyeballs #WomenCount https:// twitter.com/endfgm_network /status/654570428350861313 …";;;#WomenCount;"654703324063657984";https://twitter.com/hiindustanii/status/654703324063657984
SawantShishir;2015-10-15 18:56;6;10;"@coro_ india work since last 25 years for gender equality, women empowerment , social justice, leadership devp visit http://www. coroindia.org";;@coro_;;"654649546199314433";https://twitter.com/SawantShishir/status/654649546199314433
tanvi_ratna;2015-10-15 18:16;3;0;"Connectivity, digital delivery of services, empowerment the pillars of Digital India : Ravi Shankar Prasad #CyFy2015 pic.twitter.com/kVH8uusS9b";;;#CyFy2015;"654639573503381504";https://twitter.com/tanvi_ratna/status/654639573503381504
Jeevika_Trust;2015-10-15 17:00;0;0;"Great to see #IKEA supporting women's empowerment in #India ! #CSR";;;#IKEA #India #CSR;"654620258033008640";https://twitter.com/Jeevika_Trust/status/654620258033008640
BioversityInt;2015-10-15 14:21;1;0;"True tales of #ruralwomen #empowerment from Mali, India , Italy & Bolivia http:// bit.ly/1Wy12Q6 via @BioversityInt #BioWomen";;@BioversityInt;#ruralwomen #empowerment #BioWomen;"654580365953236992";https://twitter.com/BioversityInt/status/654580365953236992
CheriFMcGuire;2015-10-15 12:34;0;0;". @orfonline #CyFy2015 Minister @rsprasad speaking on Digital India = Empowerment ! pic.twitter.com/zJPrBlVIcY";;@orfonline @rsprasad;#CyFy2015;"654553361174392832";https://twitter.com/CheriFMcGuire/status/654553361174392832
ictjournalist;2015-10-15 12:28;4;2;"#CyFy2015 India has embraced eHeath, eEducation, eCommerce, n delivery of services and are making India digital empowerment says @rsprasad";;@rsprasad;#CyFy2015;"654551869885300736";https://twitter.com/ictjournalist/status/654551869885300736
TheSaanki;2015-10-15 12:16;1;1;"Digital India means digital delivery of services and digital empowerment of India , says @rsprasad #CyFy2015";;@rsprasad;#CyFy2015;"654548972904693760";https://twitter.com/TheSaanki/status/654548972904693760
orfonline;2015-10-15 12:07;1;1;". @MehmetKaplan :Digital empowerment key to exploit the value it creates. India 's development in ICT's is critical for the future. #CyFy2015";;@MehmetKaplan;#CyFy2015;"654546740574425088";https://twitter.com/orfonline/status/654546740574425088
the_india_story;2015-10-15 09:30;1;0;"Terra Indica is a decoration brand that supports #Youth #empowerment & sources wood from the Forest Department of WB pic.twitter.com/FfNvTdBG6f";;;#Youth #empowerment;"654507186450640897";https://twitter.com/the_india_story/status/654507186450640897
na_prasad;2015-10-15 08:10;0;0;"Idea of India : Skip this nonsense please https:// shar.es/1u56TI via @chitraSD Brilliant on need for enablement over empowerment politics";;@chitraSD;;"654486943372197888";https://twitter.com/na_prasad/status/654486943372197888
Ms_DST;2015-10-15 04:05;0;1;"#Periscope : $50B Empowerment Tour #uppn #50BPHL India Thomas of Heels in Tech AND A. Havens of Amatullahs Treasures https://www. periscope.tv/w/aO7O5DgwNjY0 ODF8MWxQS3FOWWpZek1HYjx2zSQAnFScM7CYQppZfjaGuT5RY1gNO5HymFZsjDcO …";;;#Periscope #uppn #50BPHL;"654425429110079488";https://twitter.com/Ms_DST/status/654425429110079488
Travel_4_All_TV;2015-10-14 22:34;0;0;"Accessible India campaign initiated by Department of Empowerment of Persons with Disabilities includes a campaign called Accessible Tourism";;;;"654341954088513536";https://twitter.com/Travel_4_All_TV/status/654341954088513536
coro_india;2015-10-14 21:18;14;13;"Did you read new posts on Mahila Mandal Federation,Single Women Organisation, #Women Empowerment on our FB profile? pic.twitter.com/X79YxRSeuL";Mumbai, India;;#Women;"654322877257265152";https://twitter.com/coro_india/status/654322877257265152
MBCTVODISHA;2015-10-14 17:51;0;0;"India calls international community for women empowerment - See more at: http://www. mbctv.co.in/index.php/worl d/85-world/7466-india-calls-international-community-for-women-empowerment … pic.twitter.com/RfjC8oz2Xx";;;;"654270818499739648";https://twitter.com/MBCTVODISHA/status/654270818499739648
