username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
_Arun_Pandey;2012-12-26 23:36;1;0;"Indian Defence Forces must boycott 26th january parade #TheekHai";;;#TheekHai;"283997256410075136";https://twitter.com/_Arun_Pandey/status/283997256410075136
shash2k2;2012-12-26 21:27;0;1;"Indian Defence Board - Vision 2013 http:// tinyurl.com/brnbk7w";;;;"283964647336464385";https://twitter.com/shash2k2/status/283964647336464385
sijump;2012-12-26 20:18;0;0;"@ndtv Bad India Bad,depth of secrets he know about indian defence , better 2 give protection, what will happen if he is kidnpd by terrorist.";;@ndtv;;"283947382822019074";https://twitter.com/sijump/status/283947382822019074
teennude;2012-12-26 19:35;0;0;"Christinia Blais liked Indian Defence News - Sachin Pilot first serving minister to join Territorial Army: He will… http:// goo.gl/fb/o1u1C";;;;"283936584561205248";https://twitter.com/teennude/status/283936584561205248
Giti_007;2012-12-26 17:19;0;0;"Indian defence forces buying Su-30MKI jet fighters from Russia. Cost of one unit is 1.61 billion INR (US$ 29.3... http:// fb.me/27kpInfIZ";;;;"283902325658107904";https://twitter.com/Giti_007/status/283902325658107904
cbseportal;2012-12-26 16:42;0;0;"( #Notification ) #UPSC : Apply For #NDA & NA Exam(I) For Join in Indian Defence Force - 2013 http:// goo.gl/fb/sqLD8";;;#Notification #UPSC #NDA;"283893090182385664";https://twitter.com/cbseportal/status/283893090182385664
night_walker29;2012-12-26 13:19;0;0;"Indian Defence News - Russia to deploy new Su-34 bombers http://www. bharatdefencekavach.com/News/22750_Rus sia-to-deploy-new-Su-34-bombers.html …";;;;"283842022186569728";https://twitter.com/night_walker29/status/283842022186569728
night_walker29;2012-12-26 13:11;0;0;"Indian Defence News - 1971 war heroes remembered on Vijay Diwas in Tripura http://www. bharatdefencekavach.com/News/22363_197 1-war-heroes-remembered-on-Vijay-Diwas-in-Tripura.html …";;;;"283839997226930176";https://twitter.com/night_walker29/status/283839997226930176
night_walker29;2012-12-26 13:11;0;0;"Indian Defence News - 8 Indians among world s best performing CEOs http://www. bharatdefencekavach.com/News/22759_-8- Indians-among-world-s-best-performing-CEOs-.html …";;;;"283839869787201536";https://twitter.com/night_walker29/status/283839869787201536
RobKRead;2012-12-26 01:41;0;0;"@scrapperduncan Of course. And He would have used the King of King's ( Indian) Defence .";;@scrapperduncan;;"283666338176724992";https://twitter.com/RobKRead/status/283666338176724992
DefenceReview;2012-12-25 10:58;0;0;"India’s China Syndrome » Indian Defence Review: http://www. indiandefencereview.com/spotlights/ind ias-china-syndrome/#.UNk5iEv7SlQ.twitter …";;;#;"283444184470413313";https://twitter.com/DefenceReview/status/283444184470413313
DefenceReview;2012-12-25 10:56;0;0;"Disputes in the South China Sea » Indian Defence Review: http://www. indiandefencereview.com/news/disputes- in-the-south-china-sea/#.UNk5FqyXPoI.twitter …";;;#;"283443696567996417";https://twitter.com/DefenceReview/status/283443696567996417
sunildp2008;2012-12-25 09:05;0;0;"Via-Indian Defence Forces DELHI POLICE CONSTABLE SUBHAS TOMAR WHO INJURED IN CLASH JUST PASSED AWAY... REST IN... http:// fb.me/FwAT9JsI";;;;"283415524409503744";https://twitter.com/sunildp2008/status/283415524409503744
broadswordblog;2012-12-25 08:17;0;1;"Putin's visit to Delhi: No big-ticket buys but Indo-Russia defence relations deepen: Indian defence ... http:// bit.ly/V81nYB";;;;"283403673529364481";https://twitter.com/broadswordblog/status/283403673529364481
Vic37927;2012-12-24 23:17;0;0;"Chess Openings- Hypermodern Part 2 (King's Indian Defence ) http:// tinyurl.com/3okcbgg";;;;"283267659003473920";https://twitter.com/Vic37927/status/283267659003473920
SinghNavdeep;2012-12-24 22:46;0;0;"@rs122331 sure sir? Indian defence veterans are epitome of in-fighting & divisions. Just the opposite of their former selves. @suchetadalal";;@rs122331 @suchetadalal;;"283259915215183873";https://twitter.com/SinghNavdeep/status/283259915215183873
xLuLzNicKx;2012-12-24 20:57;0;0;"India developing own secure OS to strengthen cyber security: The Indian Defence Research and Development Organiz... http:// bit.ly/ZZujZe";;;;"283232325775523842";https://twitter.com/xLuLzNicKx/status/283232325775523842
rishitwt;2012-12-24 20:42;0;0;"like medicines Indian defence budget, shud be segregated as "for internal use" and external";;;;"283228540470693888";https://twitter.com/rishitwt/status/283228540470693888
keralapscqns;2012-12-24 20:18;0;0;"Who is the first Indian defence minister to visit Saudi Arabia?";;;;"283222562081751041";https://twitter.com/keralapscqns/status/283222562081751041
