username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Me81somesh;2015-06-18 23:24;0;1;"India lost match against Bangladesh that shows inability of Sushma swaraj as minister of external affairs .";;;;"611592757061120000";https://twitter.com/Me81somesh/status/611592757061120000
newsisay;2015-06-18 22:26;0;0;"#India MoS for External Affairs VK Singh defends Sushma Swaraj, targets Chidambaram… http:// goo.gl/fb/6kNV8q";;;#India;"611578217837662209";https://twitter.com/newsisay/status/611578217837662209
TharoorianKhan;2015-06-18 21:47;1;0;"India benefiting from master of diplomacy @ShashiTharoor mentoring role (Chm. -Parliamentary Standing Committee on External Affairs )";;@ShashiTharoor;;"611568317795446784";https://twitter.com/TharoorianKhan/status/611568317795446784
NationalViews;2015-06-18 14:32;0;0;"Lesser Known Facts about #SushmaSwaraj , India ’s Firebrand Politician & External Affairs Minister http:// nationalviews.com/facts-about-su shma-swaraj-indian-politician-bjp … @bjp4india #BJP";;@bjp4india;#SushmaSwaraj #BJP;"611458874613239808";https://twitter.com/NationalViews/status/611458874613239808
Yugvani;2015-06-18 05:43;1;0;"State Visit of the President of United Republic of Tanzania to India - Ministry of External Affairs … http:// dlvr.it/BFJC73 #Yugvani";;;#Yugvani;"611325719625359360";https://twitter.com/Yugvani/status/611325719625359360
indianewsbot;2015-06-18 04:30;0;0;"Govt plans passport appeal: The ministry of external affairs is preparing to challenge a Delhi High Cou... http:// bit.ly/1TvqOnr #india";;;#india;"611307431675719682";https://twitter.com/indianewsbot/status/611307431675719682
vinaydokania;2015-06-17 17:40;2;0;"does india need an external affairs minister who puts her personal affairs ahead of the national interest? #modigate #sacksushma";;;#modigate #sacksushma;"611143775356739584";https://twitter.com/vinaydokania/status/611143775356739584
bsindia;2015-06-17 17:07;2;0;"Why did the External Affairs minister not insist that @LalitKModi should first return to India , asks @PChidambaram_IN";;@LalitKModi @PChidambaram_IN;;"611135661605695488";https://twitter.com/bsindia/status/611135661605695488
Gotham3;2015-06-17 17:05;4;3;"The most active ' External Affairs ' minister of India so far has been Shashi Tharoor.";;;;"611135055428096000";https://twitter.com/Gotham3/status/611135055428096000
prashantsetia;2015-06-17 16:53;0;0;"@SushmaSwaraj Please don't be affected at all from all this rubbish.. You are the best External Affairs minister, India had so far.";Harrow, London;@SushmaSwaraj;;"611131929082101760";https://twitter.com/prashantsetia/status/611131929082101760
dryadusingh;2015-06-17 16:38;12;11;"#IStandWithSushmaSwaraj because @SushmaSwaraj is a great External Affairs Minister for India .";;@SushmaSwaraj;#IStandWithSushmaSwaraj;"611128232826441728";https://twitter.com/dryadusingh/status/611128232826441728
needsarkari;2015-06-17 16:14;0;0;"Need Sarkari Naukri || Govt Jobs India SSC IBPS: Recruitment for Minstry of External Affairs http://www. needsarkarinaukri.com/2015/03/recrui tment-for-minstry-of-external.html?spref=tw …";;;;"611122209537392640";https://twitter.com/needsarkari/status/611122209537392640
ieworldnews;2015-06-17 15:10;0;0;"My daughter is an Oxford graduate: Swaraj's reply to Twitter insinuation: External affairs minist... http:// tinyurl.com/nn8t4at #news #india";;;#news #india;"611106027845451776";https://twitter.com/ieworldnews/status/611106027845451776
arundiwakar101;2015-06-17 11:33;0;0;"Q. Minister of State (MoS) for External Affairs V K Singh inaugurated first India -China ___ at Yunnan Minzu... http:// fb.me/7rowydYhZ";;;;"611051401414881280";https://twitter.com/arundiwakar101/status/611051401414881280
SatyaVijayi;2015-06-17 10:30;0;0;"Ministry of External Affairs , India vis Sushma Swaraj Women workers will be recruited for overseas employment... http:// fb.me/7v3FowA87";;;;"611035552176078848";https://twitter.com/SatyaVijayi/status/611035552176078848
VargheseLiberal;2015-06-17 00:48;0;0;"India 's external affairs minister on a bilateral visit to London met a fugitive from law @LalitKModi . #LalitGate https:// twitter.com/ndtv/status/61 0888929848365056 …";Egmore Nungambakkam, India;@LalitKModi;#LalitGate;"610889272061620224";https://twitter.com/VargheseLiberal/status/610889272061620224
brahmwani;2015-06-16 23:24;0;0;"is this the end of Sushma Swaraj as the External Affairs Minister of India ?";;;;"610868035386253313";https://twitter.com/brahmwani/status/610868035386253313
raghav57;2015-06-16 23:05;0;0;"@SushmaSwaraj Madam we are with you.. You are the best Minister of External affairs India has ever seen.";;@SushmaSwaraj;;"610863376655347712";https://twitter.com/raghav57/status/610863376655347712
