username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Akshay_Gondhane;2016-07-08 00:56;0;1;"Dont care who evr it may be, just kick his ass who is agnst #INDIA & #PeaceAndLove ! @timesnow #BanZakirNaik @MOSHomeIndia #HomeAffairs";;@timesnow @MOSHomeIndia;#INDIA #PeaceAndLove #BanZakirNaik #HomeAffairs;"751135399356014592";https://twitter.com/Akshay_Gondhane/status/751135399356014592
ramanmgr;2016-05-19 22:54;0;0;"#Government of #India sanctions Rs. 200 crore to #Ministry of #HomeAffairs for Central Victim compensation fund (ANI https://www. youtube.com/watch?v=OXi9tL n4wcw&index=18&list=PLBrgsoi5rITdZ_4N07hqDEPLvAF6T2H-K …";;;#Government #India #Ministry #HomeAffairs;"733347568026062848";https://twitter.com/ramanmgr/status/733347568026062848
DalitRights;2016-05-03 02:39;3;1;"@Davos India shud declare #drought #nationalemergency @MSJEGOI @min_ homeaffairs @paulncdhr https:// twitter.com/davos/status/7 27226407420616706 …";Glen Cove, NY;@Davos @MSJEGOI @min_ @paulncdhr;#drought #nationalemergency;"727243612623376384";https://twitter.com/DalitRights/status/727243612623376384
hmpotulo;2016-03-25 19:21;0;0;"@RediTlhabi @SAfmnews ; he does not need a prayer but homeaffairs and way ticket to India . Devil=Guptas. Prayer for the rain that we need.";;@RediTlhabi @SAfmnews;;"713362795438477312";https://twitter.com/hmpotulo/status/713362795438477312
ankur_bjp;2015-12-01 22:06;0;0;"I salute all my brave brothers of #BSF On #BSFGoldenJubilee Raising Day. #IndiaHomeaffairs #RajnathSingh @narendramodi @sudhirchaudhary";Gurgaon, India;@narendramodi @sudhirchaudhary;#BSF #BSFGoldenJubilee #IndiaHomeaffairs #RajnathSingh;"671729532202696704";https://twitter.com/ankur_bjp/status/671729532202696704
saleemsamad;2015-11-16 15:04;0;1;"#Bangladesh #India HomeAffairs talks begins http:// dailyasianage.com/news/2510/bang ladesh-india-border-talks-begin-today … @ihcdhaka @DAILYITTEFAQ @BDnews @bdnews24com @ProthomAlo @bbcbangla";;@ihcdhaka @DAILYITTEFAQ @BDnews @bdnews24com @ProthomAlo @bbcbangla;#Bangladesh #India;"666187614773374976";https://twitter.com/saleemsamad/status/666187614773374976
vvps;2015-08-28 17:45;0;0;"Upvote my logo submission for #NERS on #MyGov . https:// mygov.in/comment/982232 1/#comment-9822321 … #HomeAffairs #India 112";;;#NERS #MyGov #comment #HomeAffairs #India;"637237062274543616";https://twitter.com/vvps/status/637237062274543616
PwC_IN;2015-07-17 11:35;3;0;"Our #UrbanChildReport will be released by Kiren Rijiju MOS for #HomeAffairs . @stc_ india @krijiju @soniandtv @ndtv pic.twitter.com/iWhD8gOeeQ";;@stc_ @krijiju @soniandtv @ndtv;#UrbanChildReport #HomeAffairs;"621923691832553473";https://twitter.com/PwC_IN/status/621923691832553473
KhayaJames;2015-05-29 17:09;0;0;"#HomeAffairs Apleni : China, India , Russia won't be affected, if you coming from UK, Botswana, Zimbabwe you don't need a visa.";;;#HomeAffairs;"604250607235526656";https://twitter.com/KhayaJames/status/604250607235526656
KhayaJames;2015-05-29 16:57;0;0;"#HomeAffairs Apleni : In India , we have 11 and in China we will get additional centres, we expanded in Nigeria and Angola.";;;#HomeAffairs;"604247604000604160";https://twitter.com/KhayaJames/status/604247604000604160
MaqsoodAsi;2015-04-27 04:55;1;0;"Death toll in #NepalQuake jumps to 2,430, HomeAffairs Ministry. #China , #India deaths toll over 2,500 http:// cnn.it/1GkypvB v @SaimaMohsin";;@SaimaMohsin;#NepalQuake #China #India;"592469561896730624";https://twitter.com/MaqsoodAsi/status/592469561896730624
MIB_India;2014-12-12 12:50;123;21;"Shri @PrakashJavdekar meeting the Minister for HomeAffairs ,Clean&Green Project,Nauru, Ms.Charmaine Scotty #COP20Lima pic.twitter.com/CDkCXhSYnW";;@PrakashJavdekar;#COP20Lima;"543304327842906113";https://twitter.com/MIB_India/status/543304327842906113
SamirSahoo8;2014-08-23 23:27;0;0;"President of India sent letter to Ministry of HomeAffairs - 'POCSO Act to be closed#UnfairProbeByJodhpurPolice https:www.youtube.comwatch";;;#UnfairProbeByJodhpurPolice;"503239701499617280";https://twitter.com/SamirSahoo8/status/503239701499617280
rajbatam;2014-07-18 09:11;0;0;"A rapist is bigger threat for India than a terrorist. Act now #social #security #homeaffairs @BJPRajnathSingh @smritiirani @PMOIndia";;@BJPRajnathSingh @smritiirani @PMOIndia;#social #security #homeaffairs;"489978206082957312";https://twitter.com/rajbatam/status/489978206082957312
BricsFromBelow;2014-07-05 13:38;1;0;"#HomeAffairs #Tourism #USA #Europe #Brazil #Russia #India #China #SouthAfrica • http:// m.mg.co.za/index.php?view =article&urlid=2014-07-05-tourism-sector-seeks-urgent-extension-to-immigration-rules&views=1&mobi=true&KEY=m9j475k9rj3nb2isbj534i5hl5#.U7ew-Bp8Krc … pic.twitter.com/Q34rybhd1G";;;#HomeAffairs #Tourism #USA #Europe #Brazil #Russia #India #China #SouthAfrica #;"485334274921345024";https://twitter.com/BricsFromBelow/status/485334274921345024
Shakra_Kulish;2014-05-29 14:10;0;0;"@PIB_ India Great!Young learned man from NE as MoS HomeAffairs & ArmyChief(Rtd) as the MoS(Ind) for NE. Salute @PMOIndia ! #IndiaAhead @Marut_";;@PIB_ @PMOIndia @Marut_;#IndiaAhead;"471934166859137024";https://twitter.com/Shakra_Kulish/status/471934166859137024
