username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
39Abhishek;2016-03-01 03:49;1;0;"World's largest employer list had 2 Indian entities - Indian defence and Indian railways pic.twitter.com/vQfYjU4E3u";;;;"704430899438489600";https://twitter.com/39Abhishek/status/704430899438489600
naijonam;2016-03-01 03:42;2;1;"This budget is just laying foundation for privatisation of Indian Railways Sooner than later https:// twitter.com/scroll_in/stat us/704426678756503554 …";;;;"704429173255745536";https://twitter.com/naijonam/status/704429173255745536
scroll_in;2016-03-01 03:33;5;4;"Indian Railways is facing a cash crunch – and it is only going to get worse http:// bit.ly/1QfIa5L pic.twitter.com/7oUqwrXKxP";;;;"704426678756503554";https://twitter.com/scroll_in/status/704426678756503554
StopImposition;2016-03-01 01:30;2;1;"[Hindi Update]: Indian Railways thinks except Hindi all Indian languages are 'lowest class' - IBNLive http:// tinyurl.com/hcbucsv";;;;"704395857127313409";https://twitter.com/StopImposition/status/704395857127313409
amitkulsh;2016-03-01 00:41;0;0;"Trains competing with domestic air service is like Delhi claiming to become Singapore. #IndianRailways";;;#IndianRailways;"704383531233841152";https://twitter.com/amitkulsh/status/704383531233841152
amitkulsh;2016-03-01 00:40;0;0;"Trains on many routes so dirty that its difficult to get family to agree to travel #DirtyTrains #IndianRailways";;;#DirtyTrains #IndianRailways;"704383138898706432";https://twitter.com/amitkulsh/status/704383138898706432
basusrijit;2016-03-01 00:21;0;1;"Through the train window #wannabe #beingbong #blackandwhite #traveldiaries #indianrailways … https://www. instagram.com/p/BCYYKCbIo4P/";Pune, India;;#wannabe #beingbong #blackandwhite #traveldiaries #indianrailways;"704378581774897153";https://twitter.com/basusrijit/status/704378581774897153
namrata1505;2016-03-01 00:17;0;1;"@suyashchopra1 Indian railways is changing Suyash... We finally have a very good set of able ministers who take their seriously :)";;@suyashchopra1;;"704377383667802113";https://twitter.com/namrata1505/status/704377383667802113
ShekharFulzele;2016-03-01 00:02;0;3;"Operators are more important in Indian Railways than Engineers who ensures safety and punctuality.";;;;"704373763379343360";https://twitter.com/ShekharFulzele/status/704373763379343360
sukhvindrasom;2016-02-29 23:04;2;1;"हर दिन बिछेगी 7 किमी रेल पटरी - Indian Railways News http:// fb.me/13XERmtNz";;;;"704359210834722817";https://twitter.com/sukhvindrasom/status/704359210834722817
PrasannaLM;2016-02-29 22:15;7;7;"Enough is enough. Time to liberate #KarnatakaRailways from Indian Railways . Let us live with dignity. @dineshgrao https:// twitter.com/IR_EDPM/status /704274239608651777 …";;@dineshgrao;#KarnatakaRailways;"704346816326692867";https://twitter.com/PrasannaLM/status/704346816326692867
shankaragrawal;2016-02-29 21:47;0;2;"SAP HANA set to change the face of Indian Railways Ticketing System http://www. stechies.com/sap-hana-set-c hange-face-indian-railways-ticketing-system/ …";;;;"704339602274803716";https://twitter.com/shankaragrawal/status/704339602274803716
rohithbr;2016-02-29 21:36;1;1;"See how the beloved #IndianRailways respects you and your language. Another colonial residue to shake off. pic.twitter.com/X9dtoktLDs";;;#IndianRailways;"704336854783397888";https://twitter.com/rohithbr/status/704336854783397888
DelishDirection;2016-02-29 21:33;0;1;"How the Indian Railways is owning its epic toilet problem http:// buff.ly/1ScCzQm Interesting story by @chhavi #longread";;@chhavi;#longread;"704336162329075712";https://twitter.com/DelishDirection/status/704336162329075712
jayateerthbn;2016-02-29 21:32;2;2;"@PMOIndia @narendramodi this is how Indian railways treats non- hindians. How racist? https:// twitter.com/IR_EDPM/status /704274239608651777 …";;@PMOIndia @narendramodi;;"704335856895549440";https://twitter.com/jayateerthbn/status/704335856895549440
krishnakanthjc;2016-02-29 21:16;0;0;"This is one of the mean policy of Indian Railways . @RailMinIndia why can't this be changed. https:// twitter.com/IR_EDPM/status /704274239608651777 …";;@RailMinIndia;;"704331936907399169";https://twitter.com/krishnakanthjc/status/704331936907399169
kuntadynithesh;2016-02-29 20:43;0;0;"Appreciate CT Ravi, Indian railways answers is very very disappointing! http:// fb.me/2VrZAUo2u";;;;"704323665656086529";https://twitter.com/kuntadynithesh/status/704323665656086529
MohtaPraveenNBT;2016-02-29 20:31;1;1;"फतेहपुर में #RPF सिपाहियों पर TTE को पीटने का आरोप। कोतवाली में रिपोर्ट लिखाई गई। #Fatehpur #IndianRailways @CPRONCR @drmncrald @NBTLucknow";;@CPRONCR @drmncrald @NBTLucknow;#RPF #Fatehpur #IndianRailways;"704320585204002817";https://twitter.com/MohtaPraveenNBT/status/704320585204002817
SocialMediaDens;2016-02-29 20:25;1;2;"Indian Railways sets up a ₹50 Crore fund to support railway employees' #startups and other innovative projects. #StartupIndia";;;#startups #StartupIndia;"704318997454389249";https://twitter.com/SocialMediaDens/status/704318997454389249
Vetrikathiravan;2016-02-29 20:01;0;1;"@IR_EDPM so indian railways treating non hindi & non english as 3rd grade citizens ? How dare u can do this? @RailMinIndia @SiddanagoudaPa6";;@IR_EDPM @RailMinIndia @SiddanagoudaPa6;;"704313033670045697";https://twitter.com/Vetrikathiravan/status/704313033670045697
chhavi;2016-02-29 19:50;3;5;"And issue 1 of @brokentoilets is up, tackling sludge! + my piece on the Indian railways ' poop issue (& bio toilets) http:// brokentoilets.org /";;@brokentoilets;;"704310234249035781";https://twitter.com/chhavi/status/704310234249035781
syajaman;2016-02-29 19:48;11;5;"@dpsatishcnnibn @GauthamMachaiah Indian Railways indirectly indicating that Kannnadigas are low-class? #Disgrace https:// twitter.com/ir_edpm/status /704274239608651777 …";;@dpsatishcnnibn @GauthamMachaiah;#Disgrace;"704309842769485824";https://twitter.com/syajaman/status/704309842769485824
syajaman;2016-02-29 19:47;3;3;"Cc: @shamsundar_sk @OneindiaKannada Are Kannadigas low-class. Apparently that's what the Indian Railways policy says https:// twitter.com/ir_edpm/status /704274239608651777 …";;@shamsundar_sk @OneindiaKannada;;"704309561977671680";https://twitter.com/syajaman/status/704309561977671680
oltraveller;2016-02-29 19:00;4;4;"All aboard the #Nilgiri Mountain Railway! http:// ow.ly/YRWO0 #MountainMonday #TamilNadu #IndianRailways #ttot pic.twitter.com/c9Wt5g90Rb";;;#Nilgiri #MountainMonday #TamilNadu #IndianRailways #ttot;"704297767477366784";https://twitter.com/oltraveller/status/704297767477366784
colinjeffrey1;2016-02-29 18:45;0;0;"Tweethearts: Suresh Prabhu and Indian Railways team help passengers in distress through Twitter #HelpwithSocialMedia http:// fb.me/SRmUJ9Br";;;#HelpwithSocialMedia;"704293875490226178";https://twitter.com/colinjeffrey1/status/704293875490226178
LyfInTransit;2016-02-29 18:35;1;0;"From Bhopal to Ujjain and now khajuharo, I have found cleanest #railway stations of India #IndianRailways https:// twitter.com/iamrana/status /704290420772057088 …";;;#railway #IndianRailways;"704291527690887169";https://twitter.com/LyfInTransit/status/704291527690887169
BibiBaskin;2016-02-29 16:45;0;2;"There you go @IrishRail . #IndianRailways . I'm taking a train tomorrow here in India. Won't be quite the same as you! https:// twitter.com/HarperCollinsI N/status/704261838305755136 …";;@IrishRail;#IndianRailways;"704263709770665988";https://twitter.com/BibiBaskin/status/704263709770665988
HarperCollinsIN;2016-02-29 16:38;4;4;"The fascinating story of the man who has sold a #book or 2 to each of us. #Indian #Railways http:// qz.com/486051/the-mys terious-european-businessman-who-gave-india-its-iconic-railway-book-stalls/ … pic.twitter.com/CHqUUEyN9a";;;#book #Indian #Railways;"704261838305755136";https://twitter.com/HarperCollinsIN/status/704261838305755136
drjpbanking;2016-02-29 16:25;0;0;"Current Affairs 26 February 2016 APPOINTMENTS Ratan Tata to head Indian Railways ’ innovation committee Summary:... http:// fb.me/7FwsGyV4K";;;;"704258629755490304";https://twitter.com/drjpbanking/status/704258629755490304
snobfielder;2016-02-29 15:57;25;17;"@Kummanam Indian Railways will implement the Sabari Rail Project in Kerala. #KeralaThanksModi http://www. livemint.com/Politics/jIOFf KFI1WVl6u47t5XnJP/Railways-to-implement-Sabari-Rail-Project.html …";;@Kummanam;#KeralaThanksModi;"704251691995009024";https://twitter.com/snobfielder/status/704251691995009024
saveratimes;2016-02-29 15:55;0;1;"#IndianRailways 2016-17 में प्रतिदिन 7 किमी ट्रैक बिछाएगी http://www. dainiksaveratimes.com/indian-railway s/ … pic.twitter.com/WIXtKrpctK";;;#IndianRailways;"704251165840543744";https://twitter.com/saveratimes/status/704251165840543744
