username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
indiansportnews;2012-02-18 00:17;0;0;"In quest for an Olympic berth: Nobbs’ boys all set for the grab | Indian Sports News http://www. indiansportsnews.com/component/cont ent/article/952-isn-front-stories/9882-in-quest-for-an-olympic-berth-nobbs-boys-all-set-for-the-grab.html …";;;;"170580249929715712";https://twitter.com/indiansportnews/status/170580249929715712
BackTalking;2012-02-17 21:06;0;0;"Latest: Clarke unfit for next ODI against India, Marsh suffering from back pain - Indian Sports news http:// ow.ly/1hs6d7";;;;"170532147155841026";https://twitter.com/BackTalking/status/170532147155841026
CricketBooks;2012-02-17 09:22;0;0;"All Is Well: Sahara back in IPL pack, will continue to sponsor Team India - Indian Sports news http:// bit.ly/zFXF7m";;;;"170354973253701633";https://twitter.com/CricketBooks/status/170354973253701633
viralsss;2012-02-17 00:38;0;0;"Oops! With the reunion of BCCI-Sahara ties, all the hopes of revival in other non-cricketing Indian sports gets stashed out. #sponsorship";;;#sponsorship;"170223160589946880";https://twitter.com/viralsss/status/170223160589946880
tenforever;2012-02-16 16:53;0;0;"http:// Cricketnext.com Sachin Tendulkar should spell out his plans regarding One-dayers Indian Sports news It's about... http:// dlvr.it/1CT8c3";;;;"170105923929513984";https://twitter.com/tenforever/status/170105923929513984
jangwookie;2012-02-16 04:40;0;0;"Wtf... This cab driver is listening to indian sports news.. Can't concentrate on SS notes....";;;;"169921433349271552";https://twitter.com/jangwookie/status/169921433349271552
indiansportnews;2012-02-15 21:11;0;0;"Warner terms appointment of Ricky Ponting as stand-in captain a right decision | Indian Sports News http://www. indiansportsnews.com/component/cont ent/article/952-isn-front-stories/9831-warner-terms-appointment-of-ricky-ponting-as-stand-in-captain-a-right-decision.html …";;;;"169808535469821953";https://twitter.com/indiansportnews/status/169808535469821953
kartekay;2012-02-15 17:28;0;0;"Must read. Long way 2 go for Indian Sports Writing RT @sidvee A Jordan classic from '95: 'Back in Play' by David Remnick http://www. grantland.com/story/_/id/755 5753/david-remnick-classic-new-yorker-story-michael-jordan-first-return-basketball …";;@sidvee;;"169752423915724800";https://twitter.com/kartekay/status/169752423915724800
fni;2012-02-15 16:47;0;0;"Fresh talents like Jeje, Sabeeth, Sushil are ready to fill the void: Climax ... - Indian Sports news: Fresh tale... http:// tinyurl.com/7xqzxw9";;;;"169742204267544576";https://twitter.com/fni/status/169742204267544576
avinashkalla;2012-02-15 15:18;0;0;"kudos to @jamie_alter for writing what many Indian sports writer abstain from For God's sake, Tendulkar, just go http:// cricketnext.in.com/news/for-gods- sake-tendulkar-just-go/63848-13.html …";;@jamie_alter;;"169719698274004994";https://twitter.com/avinashkalla/status/169719698274004994
iSportsToday;2012-02-15 04:41;0;0;"Clijsters out of Indian Wells: Kim Clijsters has been forced to withdraw from next month's Indian ... http:// bit.ly/yhm1Ix #Sports #News";;;#Sports #News;"169559301982134272";https://twitter.com/iSportsToday/status/169559301982134272
JaquesLondon;2012-02-14 17:07;0;0;"#Chess - Saroj Khosla stars in chess tournament - Indian Sports news http:// ow.ly/1hn7xk";;;#Chess;"169384798480109569";https://twitter.com/JaquesLondon/status/169384798480109569
FIFA24x7News;2012-02-14 12:34;0;0;"FIFA President Sepp Blatter to visit India next month - Indian Sports news http:// bit.ly/xks6nV";;;;"169315991157870592";https://twitter.com/FIFA24x7News/status/169315991157870592
tenforever;2012-02-14 07:11;0;0;"Rediff India can't afford to lose Sachin Tendulkar, Rahul Dravid & VVS Laxman in one ... Indian Sports news India... http:// dlvr.it/1BzV5T";;;;"169234734914867201";https://twitter.com/tenforever/status/169234734914867201
Anouska79;2012-02-14 00:13;0;0;"Rakeysh Omprakash Mehra buys Milkha Singh’s shoes for Rs 24 lakhs in sports memorabilia auction | Indian Sports News http://www. indiansportsnews.com/component/cont ent/article/952-isn-front-stories/9771-rakeysh-omprakash-mehra-buys-milkha-singhs-shoes-for-rs-24-lakhs-in-sports-memorabilia-auction.html …";;;;"169129589929541633";https://twitter.com/Anouska79/status/169129589929541633
indiansportnews;2012-02-13 23:57;0;0;"Sania, Paes steady at 7th spot in WTA & ATP doubles rankings | Indian Sports News http://www. indiansportsnews.com/component/cont ent/article/1-latest/9794-sania-paes-steady-at-7th-spot-in-wta-a-atp-doubles-rankings.html …";;;;"169125679349243904";https://twitter.com/indiansportnews/status/169125679349243904
indiansportnews;2012-02-13 23:24;0;0;"Stalemate continues: BCCI rejects Sahara’s plea of playing six foreigners | Indian Sports News http://www. indiansportsnews.com/component/cont ent/article/952-isn-front-stories/9793-stalemate-continues-bcci-allows-yuvrajs-replacement-but-rejects-saharas-plea-of-playing-six-foreigners.html …";;;;"169117144821415936";https://twitter.com/indiansportnews/status/169117144821415936
indiansportnews;2012-02-13 19:32;0;0;"Premier League Soccer back on track after AIFF committee reviews PLS structure | Indian Sports News http://www. indiansportsnews.com/football-news/ 28-football/9792-premier-league-soccer-back-on-track-after-aiff-committee-reviews-pls-structure.html …";;;;"169058958290583553";https://twitter.com/indiansportnews/status/169058958290583553
CricketBooks;2012-02-13 15:56;0;0;"Livewire Coaching Centre win cricket tourney - Indian Sports news http:// bit.ly/zBOL64";;;;"169004453092003840";https://twitter.com/CricketBooks/status/169004453092003840
pattaya_info;2012-02-12 20:27;0;0;"Pattaya Open: Sania- Rodionova win doubles title, Hantuchova bags the singles ... - Indian Sports news http:// dlvr.it/1BgvDy";;;;"168710288785412097";https://twitter.com/pattaya_info/status/168710288785412097
MattCommentator;2012-02-12 19:33;0;0;"indian sports authority - Thedomainfo: Sporting Goods at Sports Authority - Shop at our Sports Store. Sports Aut... http:// bit.ly/wLrGah";;;;"168696700989485056";https://twitter.com/MattCommentator/status/168696700989485056
CheKurrienGQ;2012-02-11 22:53;0;0;"At Rahul Bose's auction for charity with Indian sports heroes: Milkha Singh gives an emotional speech about India's lack of athletic success";;;;"168384588245241856";https://twitter.com/CheKurrienGQ/status/168384588245241856
SuperPriya7;2012-02-11 17:05;1;0;"@sumandutta Indian sports channels r stupid.They r telecasting idiotic celebrity cricket league instd of sm std sport.";;@sumandutta;;"168297152353804288";https://twitter.com/SuperPriya7/status/168297152353804288
pramodnanjappa;2012-02-11 16:30;4;0;"GoSports Foundation scholarchips handout!Nice... Indian Sports being given a helping hand! Gave the tennis awards on behalf of @rohanbopanna";;@rohanbopanna;;"168288235833933825";https://twitter.com/pramodnanjappa/status/168288235833933825
tenforever;2012-02-11 05:35;0;0;"Rotation policy: Will Mahendra Sigh Dhoni ask Sachin Tendulakar to 'rest' at ... Indian Sports news If Mahendra... http:// dlvr.it/1BQXNw";;;;"168123440715411457";https://twitter.com/tenforever/status/168123440715411457
__LetMeKnow__;2012-02-10 13:31;0;0;"Intern - Promotions and Exhibitions at Indian Sports Corp http:// bit.ly/wl3xcJ #LetMeKnow";;;#LetMeKnow;"167880942780809216";https://twitter.com/__LetMeKnow__/status/167880942780809216
