username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bokhome;2016-06-14 05:26;2;1;"@NishaBiswal thank you for your efforts to reunite America's stolen children , illegally retained in India #TimeIsNow https:// twitter.com/usambindia/sta tus/741935917229854720 …";;@NishaBiswal;#TimeIsNow;"742505997378412544";https://twitter.com/bokhome/status/742505997378412544
topnaijaNG;2016-06-14 04:25;0;0;"Oh! See A Town In India Where Animals Are Breastfed Like Babies | Women See Them As Children @topnaijan http:// topnaija.com.ng/?p=2492&utm_so urce=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … #TOPNAIJANG";;@topnaijan;#TOPNAIJANG;"742490585949294592";https://twitter.com/topnaijaNG/status/742490585949294592
PTIShead;2016-06-14 04:04;0;2;"Children taking the lead and fighting for the freedom of other children . Powerful. #ptis #childlabour #India https:// twitter.com/UNICEFIndia/st atus/742005441702465536 …";;;#ptis #childlabour #India;"742485217936560132";https://twitter.com/PTIShead/status/742485217936560132
KashmirFreedom7;2016-06-14 03:12;7;1;"Children across #Kashmir are bravely raising their flag and saying "We want freedom from India #Occupation";;;#Kashmir #Occupation;"742472124087046144";https://twitter.com/KashmirFreedom7/status/742472124087046144
LeslieKirk13;2016-06-14 02:56;0;0;"Divulgate india online cataloging - children gem trade in for goa flights: evUc http:// dlvr.it/LYNfSP";;;;"742468111836680192";https://twitter.com/LeslieKirk13/status/742468111836680192
UCSFPsychiatry;2016-06-14 02:41;0;0;"UCSF-CMC partnership bringing better psychiatric services to children in #India http:// bit.ly/1tsYw4G pic.twitter.com/Gc37YTfLEB";;;#India;"742464330524950530";https://twitter.com/UCSFPsychiatry/status/742464330524950530
thetribunechd;2016-06-14 02:01;6;5;"@BritishCouncil launched two digital commissions along with a digital library for children in India | @alangemmell http://www. tribuneindia.com/news/life-styl e/the-british-connect/251104.html …";;@BritishCouncil @alangemmell;;"742454302485151748";https://twitter.com/thetribunechd/status/742454302485151748
NorwichPrimary;2016-06-14 01:22;0;2;"Many thanks to Mrs S for bringing in some beautiful outfits and teaching the children more about India today. pic.twitter.com/dK8SI4ZCWE";;;;"742444510320459779";https://twitter.com/NorwichPrimary/status/742444510320459779
nriworldwide;2016-06-14 01:06;2;0;"Images of India : Child Labour – 33 Million Children Still Suffer http://www. nri-worldwide.com/images-of-indi a-child-labour-33-million-children-still-suffer/ … pic.twitter.com/EzTjNa4EsJ";;;;"742440489832583169";https://twitter.com/nriworldwide/status/742440489832583169
JeffPriceMedia;2016-06-13 23:58;0;0;"So we receive enquiries from.Africa, India , Philippines, Saudi Arabia, United Kingdom, USA requesting children 's radio. Humbled Let's do it";;;;"742423375105122304";https://twitter.com/JeffPriceMedia/status/742423375105122304
Left_Behind_Dad;2016-06-13 23:30;1;0;"@SushmaSwaraj @USAmbIndia How about helping distressed abducted American children held illegally in India in lieu of human right violations.";;@SushmaSwaraj @USAmbIndia;;"742416354188398592";https://twitter.com/Left_Behind_Dad/status/742416354188398592
AdarshJha2;2016-06-13 23:21;0;1;"@ShabnamHashmi @Rajesh17011997 @paragchamp india is not ur country .. mind it.. bettr ask ur grand children to migrate to pakistan";;@ShabnamHashmi @Rajesh17011997 @paragchamp;;"742414077775880193";https://twitter.com/AdarshJha2/status/742414077775880193
kierobar;2016-06-13 23:19;2;2;"Of course not! Hedge fund managers are poster children for NAFTA and TPP - untouchables. Like Cows in India . https:// twitter.com/People4Bernie/ status/742407121656897538 …";;;;"742413526476673025";https://twitter.com/kierobar/status/742413526476673025
thechance2b;2016-06-13 23:03;2;1;"#India 's #populationbomb !-> 320K #Teengirls already w/ 2 Children - getting > 7 during lifetime http:// thewire.in/2016/05/10/nin eteen-million-women-in-india-have-given-birth-to-seven-or-more-children-34974/ … via @thewire_in";;@thewire_in;#India #populationbomb #Teengirls;"742409690051678212";https://twitter.com/thechance2b/status/742409690051678212
babaialainn;2016-06-13 22:39;0;0;"Hinduism: INDIA0513/: a PSYCHIATRIST'S view ha postato una foto: Millions of children of INDIA and the ... http:// bit.ly/28xCm0Z";;;;"742403581186183168";https://twitter.com/babaialainn/status/742403581186183168
motifromhosalli;2016-06-13 22:21;0;0;"This video promotes SBM&also teaches us that a lot 2 learn from future citizens of india ; children http:// fb.me/7XVX7s9dp @swachhbharat";;@swachhbharat;;"742398884735897600";https://twitter.com/motifromhosalli/status/742398884735897600
njangra12;2016-06-13 21:37;0;0;"#SackPahlaj In UAE children 's are not allowed based on certification but same is not much forced in India .";;;#SackPahlaj;"742388002681454592";https://twitter.com/njangra12/status/742388002681454592
MaxCRoser;2016-06-13 20:39;58;40;"Total Fertility Rate ( children per woman) in India fell from almost 6 to 2.5. Now not much higher than US or France https:// ourworldindata.org/grapher/childr en-per-woman-UN?tab=chart&country=FRA+IND+USA …";;;;"742373280246566912";https://twitter.com/MaxCRoser/status/742373280246566912
mnikfoundation;2016-06-13 20:12;1;0;"1in3 unregistered children live in India - 71m children under 5 who legally don't 'exist' http:// ow.ly/ZQfo301cNJq @UNICEF @UNICEFIndia";;@UNICEF @UNICEFIndia;;"742366627728084992";https://twitter.com/mnikfoundation/status/742366627728084992
tamarinloves;2016-06-13 20:12;0;0;"please sow generously into this faithful ministry to children in south India http:// fb.me/4MyRjN7dC";;;;"742366590134587392";https://twitter.com/tamarinloves/status/742366590134587392
sjpatil;2016-06-13 20:12;0;2;"What % of children of bureaucrats and ministers study abroad - UK, US,Oz. my guess 80% +. If you can afford it why India .";;;;"742366556965863428";https://twitter.com/sjpatil/status/742366556965863428
ChildreachInt;2016-06-13 20:00;0;4;"We are #ProudOfAid because it has allowed us to get 91% of children in Hisar, #India , into schools. pic.twitter.com/G0uXo5KKPz";;;#ProudOfAid #India;"742363481886711810";https://twitter.com/ChildreachInt/status/742363481886711810
