username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RealMedicine;2013-01-15 01:10;0;0;"We will continue to combat violent crime with education & empowerment of women to promote their health & safety. #India http:// ow.ly/gMoKh";;;#India;"290906226458517506";https://twitter.com/RealMedicine/status/290906226458517506
Taylor_Delight;2013-01-14 21:54;2;1;"Video by India Arie used to be my song for women empowerment lol";;;;"290857033106878464";https://twitter.com/Taylor_Delight/status/290857033106878464
seosachinkumar;2013-01-13 21:28;0;0;"English is not language in India . Its your still and your Empowerment .";;;;"290488030970642432";https://twitter.com/seosachinkumar/status/290488030970642432
LakSMani;2013-01-13 21:06;0;0;"Girls/Women Empowerment -not just a slogan. Sad RT“ @nytimes : In Rape’s Aftermath, India Debates Violence Against Women http:// nyti.ms/TSZPV9 ”";;@nytimes;;"290482538206613504";https://twitter.com/LakSMani/status/290482538206613504
RIYADH4Acumen;2013-01-13 18:03;3;0;"Lessons of Empowerment ! Drishtee, An Acumen Fund investee offers micro loans in rural India . http:// blog.acumenfund.org/2013/01/07/les sons-of-empowerment/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+AcumenFundBlog+%28Acumen+Fund+Blog%29&safe=on …";;;;"290436436145098752";https://twitter.com/RIYADH4Acumen/status/290436436145098752
Glaximusmaximus;2013-01-13 17:21;0;0;"By winning #BiggBoss6 , Urvashi Dholakia has inspired the movement of women empowerment in India ~ said Nobody.";;;#BiggBoss6;"290425824967016448";https://twitter.com/Glaximusmaximus/status/290425824967016448
andrew058;2013-01-13 16:28;0;0;"Logics of Empowerment : Development, Gender, and Governance in Neoliberal India http:// tinyurl.com/brz2dtf";;;;"290412577425608704";https://twitter.com/andrew058/status/290412577425608704
SribalasaiReena;2013-01-13 13:03;0;0;"and Shri P Balaram Naik, he is d Union Minister of State for Social Justice and Empowerment from Central Govt.of INDIA .";;;;"290360822415368192";https://twitter.com/SribalasaiReena/status/290360822415368192
Fizi_Logic;2013-01-13 11:05;0;0;"RSS is a biggest threat to every individual in India .. As they are trying to break the peace of our country for their empowerment ..Wake up";;;;"290331182741221376";https://twitter.com/Fizi_Logic/status/290331182741221376
Milcahdubba;2013-01-12 22:08;0;0;"What an amazing night ! @cindytrimm truly blessed by your word ma'am !You are a legend ! #kingdom #empowerment #2013 #India";;@cindytrimm;#kingdom #empowerment #2013 #India;"290135598545633280";https://twitter.com/Milcahdubba/status/290135598545633280
AwaraRish;2013-01-12 21:44;0;0;"Heartily congratulations to Sunmeet Kaur Sahwney for winning 5 cr at kbc! Epitome of Women empowerment ! India needs to learn from this!";;;;"290129730588512256";https://twitter.com/AwaraRish/status/290129730588512256
ashokeraj007;2013-01-12 19:04;0;0;"1.Emerging political challenges 2. Emer socio-economic challenges 3. India and The world 4. Organisational strength 5. Empowerment of Women";;;;"290089332822396928";https://twitter.com/ashokeraj007/status/290089332822396928
CAREIndia;2013-01-12 11:21;1;0;"Support cause of women & girls empowerment like Narayan Raman of Cox & Kings, who’ll run for CARE India . Support us: http://www. unitedwaymumbai.org/1194-namitagar wal.htm …";;;;"289972904916025344";https://twitter.com/CAREIndia/status/289972904916025344
repubindia;2013-01-12 10:40;0;0;"@narendramodi India constrained with limited arable land, huge population density, SME can play a key role in social empowerment , employment";;@narendramodi;;"289962540245590016";https://twitter.com/repubindia/status/289962540245590016
h0pster;2013-01-12 05:32;0;0;"Jayanagar steps up for women empowerment http:// bit.ly/UWLERy #India #WorldNews";;;#India #WorldNews;"289884916806717440";https://twitter.com/h0pster/status/289884916806717440
India_IN;2013-01-11 22:12;0;0;"DataWind and UN launch app development contest for women's empowerment : DataWind and the United Nations Office for Partnerships in co...";;;;"289774249802092545";https://twitter.com/India_IN/status/289774249802092545
womenadvocates;2013-01-11 21:30;4;0;"Jayanagar steps up for women empowerment : MK Ashoka – DNA India – Friday, 11 January 2012 (originally publi... http:// bit.ly/ZCdBKY #WNN";;;#WNN;"289763662661566464";https://twitter.com/womenadvocates/status/289763662661566464
JadhavHarshad03;2013-01-11 10:05;0;0;"" Empowerment through knowledge" . suppose peoples are use this sentence in all over India people,possible to changing all our bad thinking.";;;;"289591288616087552";https://twitter.com/JadhavHarshad03/status/289591288616087552
ArunWesley;2013-01-10 23:51;0;0;"KINGDOM EMPOWERMENT CONFERENCE DR. CINDY TRIMM Date : JANUARY 10th to 13th, 2013 Venue : MAHBOOB COLLEGE GROUNDS ,(MCG) ,HYDERABAD, INDIA";;;;"289436803314876416";https://twitter.com/ArunWesley/status/289436803314876416
