username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
idrwalerts;2016-07-15 03:41;0;0;"Coming soon: Big Brother to watch over NGOs, civil society groups worried - @manoharparrikar ... http:// idrw.org/c/";;@manoharparrikar;;"753713477525594113";https://twitter.com/idrwalerts/status/753713477525594113
idrwalerts;2016-07-15 03:41;1;0;"Watch China, it may be eyeing Andamans - @manoharparrikar @narendramodi http:// idrw.org/watch-china-ma y-eyeing-andamans/ …";;@manoharparrikar @narendramodi;;"753713470646935552";https://twitter.com/idrwalerts/status/753713470646935552
atul_kakkar156;2016-07-15 01:30;0;0;"J&K: Theatre of the Next War » Indian Defence Review http://www. indiandefencereview.com/news/jk-theatr e-of-the-next-war/#.V4c7hCRcKEI.twitter …";;;#;"753680502477828096";https://twitter.com/atul_kakkar156/status/753680502477828096
kalappa123;2016-07-14 22:51;0;0;"Always ready to save Indian from extreme critical condition .....I respect u Indian Defence ..... #loveualways";;;#loveualways;"753640608107929600";https://twitter.com/kalappa123/status/753640608107929600
kolkata24x7;2016-07-14 21:55;0;0;"Advanced Artillery Gun System Wii ... http:// goo.gl/Y2DKZi #AdvancedArtilleryGun #DRDO #INDIANDEFENCE pic.twitter.com/eDMSR323mF";;;#AdvancedArtilleryGun #DRDO #INDIANDEFENCE;"753626437106724865";https://twitter.com/kolkata24x7/status/753626437106724865
anishku65433843;2016-07-14 19:39;0;0;"#India to lease one more #Akula -class nuclear #Submarine from #Russian Navy. http:// bit.ly/29H15Zw";;;#India #Akula #Submarine #Russian;"753592334093279232";https://twitter.com/anishku65433843/status/753592334093279232
Siddharth1962;2016-07-14 17:25;0;0;"This is what great country's are capable off! #Not the first time;nor the last. #Indian defence forces,our strength! https:// twitter.com/AdityaRajKaul/ status/753556638016176129 …";;;#Not #Indian;"753558499787890689";https://twitter.com/Siddharth1962/status/753558499787890689
FollowCII;2016-07-14 15:50;2;4;"CII Defence & Aerospace Industry Directory has details of around 400 Indian defence companies, Know more details: http://www. cii.in/PublicationDet ail.aspx?enc=poxv/2sZ6eZQO+xjEanbzCcByA74svWXKJTlZRJcZW+e7tfwmvKJ4I7fUki9Gwb/qiiMA2yA2H6bOnIeD5pGuqFTG0WaNumYImkfYWSXuehglOFI51Ioe/JefZah643UQZpMGLvcrRV5vVlCrikL+TpyTepS3XKwEYT/lHHissPFX645LV5Bqy/4bs1ORb6x …";;;;"753534547942334464";https://twitter.com/FollowCII/status/753534547942334464
idrwalerts;2016-07-14 15:41;0;0;"Pakistan briefs P5 envoys about Kashmir situation -... http:// idrw.org/pakistan-brief s-p5-envoys-kashmir-situation/ …";;;;"753532263854374912";https://twitter.com/idrwalerts/status/753532263854374912
shreha211985;2016-07-14 14:52;0;0;"Solution to J & K problem lies in New Delhi… » Indian Defence Review http://www. indiandefencereview.com/news/solution- to-j-k-problem-lies-in-new-delhi/ … http:// fb.me/5s1LEZb6i";;;;"753520000460128257";https://twitter.com/shreha211985/status/753520000460128257
arenmishra;2016-07-14 12:55;0;0;"Decoding Burhan Wani and Kashmir unrest: Is ‘Indian oppression’ to blame? http:// disq.us/t/2ae6un3";;;;"753490530508701696";https://twitter.com/arenmishra/status/753490530508701696
arenmishra;2016-07-14 12:36;0;0;"Is Hyderabad ISIS springboard in India? http:// disq.us/t/2ae6xjc";;;;"753485820078723072";https://twitter.com/arenmishra/status/753485820078723072
Gurnazz_;2016-07-14 10:30;0;0;"Respect and heartiest salute my Indian defence .. #IndianArmyBemisaal";;;#IndianArmyBemisaal;"753454222579003393";https://twitter.com/Gurnazz_/status/753454222579003393
mumukshu87;2016-07-14 09:11;0;0;"@WrongDoc how about sending him in front of the blood thirsty stone pelting jehadi mob instead of indian defence forces? @KenRoth";;@WrongDoc @KenRoth;;"753434159075381248";https://twitter.com/mumukshu87/status/753434159075381248
earthspeakorg;2016-07-14 05:34;0;1;"China invented chrome-plating technology 2,200 years ago. Germany: 1937. US: 1950. | Indian Defence Forum http:// defenceforumindia.com/forum/threads/ china-invented-chrome-plating-technology-2-200-years-ago-germany-1937-us-1950.35812/ …";;;;"753379632066523136";https://twitter.com/earthspeakorg/status/753379632066523136
