username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SWAMITRA;2011-01-03 16:35;0;0;"Ministry of External Affairs reaches out with Twitter | The India Daily http://www. theindiadaily.com/ministry-of-ex ternal-affairs-reaches-out-with-twitter/ … via @theindiadaily";;@theindiadaily;;"21884844241850368";https://twitter.com/SWAMITRA/status/21884844241850368
mchsudhakar;2011-01-03 00:14;0;0;"Kevin Rudd, former prime minister of Australia, is now its External Affairs minister. 63 years, Did ever such thing happen here? #India";;;#India;"21638046113865728";https://twitter.com/mchsudhakar/status/21638046113865728
IndiaNews247;2011-01-02 12:45;0;0;"Discard hostility: Krishna to Pak: The Union external affairs minister says that India 's only expectation from P... http://bit.ly/fJxEwk";;;;"21464462573707265";https://twitter.com/IndiaNews247/status/21464462573707265
westbengal;2010-12-31 19:07;0;0;"Reuters India Did not act under pressure on transactions with Iran: External affairs ministry… http://goo.gl/uOzf";;;;"20835843014922240";https://twitter.com/westbengal/status/20835843014922240
India_Headlines;2010-12-31 18:24;0;0;"24 leaders visited India in 'landmark' 2010 diplomacy year - As 2010 drew to a close, the external affairs ministry...http://bit.ly/eht6W2";;;;"20825051733430272";https://twitter.com/India_Headlines/status/20825051733430272
average_persona;2010-12-28 18:54;0;0;"@Hanna_ India sorry-u must have heard it wrong... India is good at red tape..but the external affairs ministry has improved functioning now !";;@Hanna_;;"19745559669645312";https://twitter.com/average_persona/status/19745559669645312
indiagazette;2010-12-24 20:53;0;0;"Against the backdrop of India 's growing global stature, the external affairs ministry is now compiling a list of ... http://tf.to/bpKs";;;;"18325786620592128";https://twitter.com/indiagazette/status/18325786620592128
India_Headlines;2010-12-23 20:42;0;0;"Karunakaran a tall leader of Congress: Krishna - External Affairs Minister S.M. Krishna Thursday expressed grief at...http://bit.ly/hb2U7V";;;;"17960749775196160";https://twitter.com/India_Headlines/status/17960749775196160
India_IN;2010-12-23 12:12;0;0;"Krishna-Hillary discuss Afghanistan: External Affairs Minister SM Krishna has invited US Secretary of State Hillary Clinton for the s...";;;;"17832410045480960";https://twitter.com/India_IN/status/17832410045480960
downloadsedge;2010-12-23 11:40;0;0;"‘WikiLeaks will not affect India-U.S. ties’: AP External Affairs Minister S.M. Krishna and U… http://goo.gl/fb/qMh5Y";;;;"17824389181476864";https://twitter.com/downloadsedge/status/17824389181476864
ilr_india;2010-12-21 21:23;0;0;"New Delhi, Dec 21 (ANI): The Ministry of External Affairs on Tuesday informed that the 'Appointment Committe... http://bit.ly/eEWLE2";;;;"17246302706339840";https://twitter.com/ilr_india/status/17246302706339840
DTU_DCE;2010-12-20 13:01;0;0;"We are in news again. Check out an article on Delhi Technological University in Nov's India Perspective, by Ministry of External Affairs :)";;;;"16757662641299456";https://twitter.com/DTU_DCE/status/16757662641299456
ilr_india;2010-12-20 08:37;0;0;"New Delhi, Dec 20: After the Chinese media's report on the length of Sino-Indian border, former External Affairs ... http://bit.ly/hQ3uFU";;;;"16691197800091648";https://twitter.com/ilr_india/status/16691197800091648
InternetHindus;2010-12-19 14:02;0;0;"US denies medling in India 's afairs, says its all diplomacy http://bit.ly/eUiTzv I isnt 1 country's external affairs othrs internal afairs";;;;"16410550393110528";https://twitter.com/InternetHindus/status/16410550393110528
ortson;2010-12-18 04:54;0;0;"WikiLeaks cables: India revelations spark political row: A spokesman for the ministry of external affairs in Del... http://bit.ly/ethajY";;;;"15910276712894464";https://twitter.com/ortson/status/15910276712894464
ilr_india;2010-12-16 21:22;0;0;"New Delhi, Dec 16 (ANI): External Affairs Minister S M Krishna on Thursday said the relationship between Ind... http://bit.ly/haDxwX";;;;"15434102375186432";https://twitter.com/ilr_india/status/15434102375186432
myheadlinez;2010-12-16 18:53;0;0;"India -China relations is multi-dimensional, says Krishna: External Affairs Minister S M Krishna on Thursday said... http://bit.ly/gVfJKb";;;;"15396642001784833";https://twitter.com/myheadlinez/status/15396642001784833
cyclingsultan;2010-12-16 18:43;0;0;"MT @madversity : Problem with foreign policy reporting in India is that reporters behave like stenographers for Ministry of External Affairs .";;@madversity;;"15393995333050368";https://twitter.com/cyclingsultan/status/15393995333050368
ilr_india;2010-12-16 00:10;0;0;"External Affairs Minister SM Krishna speaks about India -China relationship ahead of China's Prime Minister's vis... http://bit.ly/eVVWte";;;;"15114043010318336";https://twitter.com/ilr_india/status/15114043010318336
sm4uksmes;2010-12-14 15:27;0;0;"of External Affairs (MHA) Navdeep Suri said today that India realises the need to have its pres... http://bit.ly/fmpZJZ #uk #socialmedia";;;#uk #socialmedia;"14619950517850112";https://twitter.com/sm4uksmes/status/14619950517850112
msninvideo;2010-12-13 13:57;0;0;"India needs social media presence: External Affairs official http://bit.ly/hPzVqw";;;;"14235008449388544";https://twitter.com/msninvideo/status/14235008449388544
sergiofelter;2010-12-12 20:41;0;0;"Navdeep Suri, external affairs official - India needs to make its presence in social media http://www.youtube.com/watch?v=GuXkkBGJUg4&";;;;"13974157024821248";https://twitter.com/sergiofelter/status/13974157024821248
indiagazette;2010-12-12 16:48;0;0;"India 's foreign ministry - the Ministry of External Affairs (MEA) - is now in a major exercise to 'reinven ... http://tf.to/akrT";;;;"13915703828549632";https://twitter.com/indiagazette/status/13915703828549632
India_Headlines;2010-12-12 15:27;0;0;"Indian diplomacy wants to reinvent itself, virtually - Indias foreign ministry - the Ministry of External Affairs ...http://bit.ly/i6eIXp";;;;"13895127948861440";https://twitter.com/India_Headlines/status/13895127948861440
epictrafficr;2010-12-12 07:38;0;0;"India needs to make its presence in social media: External Affairs official: ... realises the need to present In... http://bit.ly/b6xyyB";;;;"13777252961488896";https://twitter.com/epictrafficr/status/13777252961488896
ilr_india;2010-12-11 21:22;0;0;"New Delhi, Dec.11 (ANI): Joint Secretary (Public Diplomacy) of Ministry of External Affairs (MHA) Navdeep Sur... http://bit.ly/hqoeNC";;;;"13622074786451456";https://twitter.com/ilr_india/status/13622074786451456
indiagazette;2010-12-11 20:47;0;0;"Joint Secretary (Public Diplomacy) of Ministry of External Affairs (MHA) Navdeep Suri said today that India realises ... http://tf.to/agzM";;;;"13613369663688704";https://twitter.com/indiagazette/status/13613369663688704
socialnimf;2010-12-11 19:09;0;0;"India needs to make its presence in social media: External Affairs official: ... realises the need to present In... http://bit.ly/dSnOs5";;;;"13588599685517312";https://twitter.com/socialnimf/status/13588599685517312
ezwebbiz;2010-12-11 18:57;0;0;"India needs to make its presence in social media: External Affairs official: ... realises the need to present In... http://bit.ly/hIcv9T";;;;"13585776876978176";https://twitter.com/ezwebbiz/status/13585776876978176
celia_amaro;2010-12-11 18:16;0;0;"India needs to make its presence in social media: External Affairs official: New Delhi, December 11 (ANI): The I... http://bit.ly/hRPa0R";;;;"13575323828363264";https://twitter.com/celia_amaro/status/13575323828363264
