username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ToAsiaWithLuv;2016-02-07 00:34;0;0;"#Travel #Japan 5 Things The Indian Railways Can Learn From Japan To Make Travel Safe Fo... http:// bit.ly/1ofV8r3 http:// bit.ly/1pMIWu9";;;#Travel #Japan;"696046831952752640";https://twitter.com/ToAsiaWithLuv/status/696046831952752640
shinils;2016-02-07 00:21;1;5;"#IRCTC rolls out Bharat Darshan package for #Goa , South #India http:// ecoti.in/4uvHma #Travel #IndianRailways #News pic.twitter.com/dXYMa9ps8z";;;#IRCTC #Goa #India #Travel #IndianRailways #News;"696043578196414464";https://twitter.com/shinils/status/696043578196414464
chillipi;2016-02-06 23:52;0;0;"I liked a @YouTube video http:// youtu.be/WtKcb7-U3sA?a EMD powered Superfast Express OVERTAKES ALCO powered Express - Indian Railways";;@YouTube;;"696036160037064705";https://twitter.com/chillipi/status/696036160037064705
chillipi;2016-02-06 23:52;0;0;"I liked a @YouTube video http:// youtu.be/bQY9akRopXY?a Late Running RAJDHANI Express crosses a Viaduct in Day Light - Indian Railways";;@YouTube;;"696036143280820224";https://twitter.com/chillipi/status/696036143280820224
_alps;2016-02-06 23:40;0;1;"How Indian Railways handled an accident. It's a very cool thing to appreciate professionalism of government bodies. http://www. thebetterindia.com/45260/indian-r ailways-train-accident-passengers-comfort/ …";;;;"696033283142909952";https://twitter.com/_alps/status/696033283142909952
Harish_KC;2016-02-06 23:30;0;0;"Well done #indianrailways , @sureshpprabhu , @IndiaRailNews http://www. thebetterindia.com/45260/indian-r ailways-train-accident-passengers-comfort/ …";;@sureshpprabhu @IndiaRailNews;#indianrailways;"696030782922436609";https://twitter.com/Harish_KC/status/696030782922436609
FinancialXpress;2016-02-06 22:46;3;5;"Indian railways to restore service of all cancelled trains next week http:// bit.ly/1K5890u";;;;"696019663797538820";https://twitter.com/FinancialXpress/status/696019663797538820
amit124087;2016-02-06 22:44;1;0;"ऑनलाइन हुआ रेलवे का 'ट्रैक मैनेजमेंट सिस्टम' - Indian Railways News http:// fb.me/7UiBnbWfb";;;;"696019183004467200";https://twitter.com/amit124087/status/696019183004467200
india_agent;2016-02-06 22:12;0;0;"It is time to end all kinds of subsidies on Indian Railways - Economic Times (blog) #indian http:// dragplus.com/post/id/334999 96 …";;;#indian;"696010985010765825";https://twitter.com/india_agent/status/696010985010765825
GMSRailway;2016-02-06 22:03;2;2;"Indian Railways to tap advertising potential of stations and trains. http:// financialexpress.com/article/econom …";;;;"696008749811511296";https://twitter.com/GMSRailway/status/696008749811511296
DrShobha;2016-02-06 21:45;4;7;"Indian Railways Surprised Me with the Way It Handled an Accident http://www. thebetterindia.com/45260/indian-r ailways-train-accident-passengers-comfort/ …";;;;"696004204972773376";https://twitter.com/DrShobha/status/696004204972773376
DigitallGuy;2016-02-06 21:15;0;0;"Make Your Career With Railway Jobs 2016: Indian railways provides a large opportunities to the students you wa... http:// bit.ly/1VYLCD8";;;;"695996838105604097";https://twitter.com/DigitallGuy/status/695996838105604097
jpsin1;2016-02-06 21:11;1;0;"ऑनलाइन हुआ रेलवे का 'ट्रैक मैनेजमेंट सिस्टम' - Indian Railways News http:// fb.me/4G4bUE3Q2";;;;"695995766280691712";https://twitter.com/jpsin1/status/695995766280691712
