username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
IndianRailMedia;2016-07-15 00:26;2;5;"Please tag appropriate GM/RM/DRM of Indian Railways while asking your query. It will be sorted out faster @sureshpprabhu #IndianRailMedia";;@sureshpprabhu;#IndianRailMedia;"753664581910659072";https://twitter.com/IndianRailMedia/status/753664581910659072
mumbairailusers;2016-07-14 23:10;3;6;"Delhi to Mumbai in less than 12 hours? Talgo wil first have 2 pass these 3 tests by IndianRailways http://www. financialexpress.com/india-news/tal go-trials-indian-railways-suresh-prabhu-delhi-mumbai-rajdhani-high-speed-train/316425/#.V4fN6He-xIs.twitter … @sureshpprabhu";;@sureshpprabhu;#;"753645261398822912";https://twitter.com/mumbairailusers/status/753645261398822912
SushmaSwaraj;2016-07-14 22:13;327;861;"Indian Railways and Air India will facilitate their onward journey./3";;;;"753631018255585284";https://twitter.com/SushmaSwaraj/status/753631018255585284
Fairoz_JK;2016-07-14 21:00;7;4;"Can BJP run india Revenue growth at Indian railways comes to a naught pic.twitter.com/LBoOHXD6Cj";;;;"753612685401464832";https://twitter.com/Fairoz_JK/status/753612685401464832
Flipkart;2016-07-14 20:31;58;163;"Now that's something our boys can relate to! Congrats Indian Railways on the Talgo train :) pic.twitter.com/kYdJO7CFx5";;;;"753605222555983873";https://twitter.com/Flipkart/status/753605222555983873
shantherailfan;2016-07-14 19:26;0;0;"#video #IndianRailways #ALCO KJM WDG3A power #Hubbali - SC #Hyderabad exp #Trains #Railways https://www. youtube.com/watch?v=GIJmp- 4oXIw … pic.twitter.com/ZpTc4dQdCb";;;#video #IndianRailways #ALCO #Hubbali #Hyderabad #Trains #Railways;"753588891924463616";https://twitter.com/shantherailfan/status/753588891924463616
Chakolebaaz;2016-07-14 18:56;4;5;"Indian Railways treating me like a football Online experience of ek table se dusre table pe jao :D pic.twitter.com/hav9gze592";;;;"753581347864580098";https://twitter.com/Chakolebaaz/status/753581347864580098
UNDP_India;2016-07-14 17:39;13;19;"Chugging Ahead! Indian Railways powers ahead on track to #energyefficiency . See: http:// bit.ly/RailwaysUNDP pic.twitter.com/7YEyzDWWC7";;;#energyefficiency;"753562151223046144";https://twitter.com/UNDP_India/status/753562151223046144
GMSRailway;2016-07-14 16:09;1;5;"Join Indian Railways in its #GoGreen initiative - A Short Film abt usage of bio-toilets for Passen... https:// youtu.be/zMntTYSS8o8 via @YouTube";;@YouTube;#GoGreen;"753539518733484032";https://twitter.com/GMSRailway/status/753539518733484032
samitkakkad;2016-07-14 15:56;4;7;"Thank you #IndianRailways @HalfTicketMovie http:// youtu.be/uuuHe5V45N8 Releasing July 22. pic.twitter.com/F7UNc1snMB";;@HalfTicketMovie;#IndianRailways;"753536241694564352";https://twitter.com/samitkakkad/status/753536241694564352
samirsinh189;2016-07-14 15:38;52;83;"#IndianRailways successfully tests Spain's #Talgo #train running at 180 kmph. A step further for speedy transport. pic.twitter.com/HmeUuAqDHy";;;#IndianRailways #Talgo #train;"753531612495773696";https://twitter.com/samirsinh189/status/753531612495773696
sandeepti009;2016-07-14 15:23;27;78;"@sureshpprabhu very nice AC waiting rooms in Indian Railways ... well done. @narendramodi you gave india its best min pic.twitter.com/OEileldZO9";;@sureshpprabhu @narendramodi;;"753527838096101377";https://twitter.com/sandeepti009/status/753527838096101377
itisprashanth;2016-07-14 14:56;2;9;"@sureshpprabhu Many more happy returns sir! you are the best thing that happened to indian railways ever! long live . india needs you!";;@sureshpprabhu;;"753521046842699776";https://twitter.com/itisprashanth/status/753521046842699776
KiranKS;2016-07-14 14:22;13;19;"See this. Indian Railways carries more passengers daily than the entire population of a large area country like Australia!";;;;"753512370111078400";https://twitter.com/KiranKS/status/753512370111078400
