username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Glasgow_Cable;2014-08-09 04:46;0;0;"Glasgow CWG 2014: Indian sports officials acquitted but the episode leaves many unanswered questions.. http:// newinly.com/31p2bt5qr";;;;"497884197584134145";https://twitter.com/Glasgow_Cable/status/497884197584134145
LalitAmbardar;2014-08-09 00:41;1;1;"@rahulkanwal @anandmahindra Watch @karanambardar on @StarSportsIndia for Indian sports-art@ProKabaddi #kabaddikagyanmeresaath , #gyankabhandar";;@rahulkanwal @anandmahindra @karanambardar @StarSportsIndia @ProKabaddi;#kabaddikagyanmeresaath #gyankabhandar;"497822481495769089";https://twitter.com/LalitAmbardar/status/497822481495769089
TheRahulMehra;2014-08-08 23:00;1;2;"@shilpitewari See the state of Indian sports & sportspersons & imagine what all @sachin_rt could transform by simply raising critical issues";;@shilpitewari @sachin_rt;;"497796968551157761";https://twitter.com/TheRahulMehra/status/497796968551157761
ManURock;2014-08-08 20:52;0;0;"All those people who questioned honoring @sachin_rt with #BharatRatna before God of Indian sports , legendary Dhyanchand, stand vindicated.";;@sachin_rt;#BharatRatna;"497764912626552832";https://twitter.com/ManURock/status/497764912626552832
TheRahulMehra;2014-08-08 19:47;8;5;"@sachin_rt needs to wake up fm d slumber, raise issues plaguing Indian sports system or lack of it & maximize contribution as MP, RS. #WillHe";;@sachin_rt;#WillHe;"497748338276433923";https://twitter.com/TheRahulMehra/status/497748338276433923
TheRahulMehra;2014-08-08 19:40;6;5;"Indian sports incl cricket (especially its administration) is in shambles & one expected the most powerful voice wud make himself be heard?";;;;"497746575112687616";https://twitter.com/TheRahulMehra/status/497746575112687616
classi4u;2014-08-08 17:24;0;0;"Sports Events Magazine | Indian Sports Revolution: Event Management - Tadpoles - The… http:// goo.gl/fb/yirRFZ";;;;"497712394320113664";https://twitter.com/classi4u/status/497712394320113664
4mYapatla;2014-08-08 14:40;0;1;"@Prerna_India Sachin could use his position as MP to improve Indian sports , that was the purpose of creating such nominated positions!";;@Prerna_India;;"497671113514958848";https://twitter.com/4mYapatla/status/497671113514958848
WarcEditors;2014-08-08 14:40;1;2;"Warc News: Twitter engages Indian sports fans http:// warc.me/pXPIU3 via @e4mtweets";;@e4mtweets;;"497671074943754240";https://twitter.com/WarcEditors/status/497671074943754240
2389N;2014-08-08 13:46;0;1;"There is so much he could've done for Indian sports , given the power of his position. But I don't think he is really interested.";;;;"497657662092242945";https://twitter.com/2389N/status/497657662092242945
SherryPaaji;2014-08-08 09:16;0;2;"thnk indian sports fans selected @ProKabaddi insted of #EngvInd De dnt knw d nme of kabaddi plyrs stl supporting kabaddi is choice nt option";;@ProKabaddi;#EngvInd;"497589714841374720";https://twitter.com/SherryPaaji/status/497589714841374720
themayankj;2014-08-08 07:55;1;1;"@LambaAlka @AkashSoniZee he was the first big superstar of Indian sports .a true ambassador of India.salute to him";;@LambaAlka @AkashSoniZee;;"497569230061977602";https://twitter.com/themayankj/status/497569230061977602
tinarichardson1;2014-08-08 06:01;0;0;"Twitter engages Indian sports fans - Warc: exchange4media.comTwitter engages Indian sports fansWarcTwitter Amp... http:// tinyurl.com/lew29uu";;;;"497540453864972289";https://twitter.com/tinarichardson1/status/497540453864972289
jumbo111;2014-08-08 00:45;0;0;"If Indian sports persons r paid according to their performance. Cricketers will b the least paid";;;;"497460984189972481";https://twitter.com/jumbo111/status/497460984189972481
andrekaruk;2014-08-08 00:30;0;0;"Report: American Indian Sports Mascots Harm Native Youth - http:// klou.tt/1saxh4ctod876";;;;"497457222679814144";https://twitter.com/andrekaruk/status/497457222679814144
cmouniverse;2014-08-07 18:26;0;0;"Try to avoid food with harmful chemicals. I've asked a friend who's a coach of an Indian sports team and a... http:// fb.me/2WLZRadCK";;;;"497365558829273089";https://twitter.com/cmouniverse/status/497365558829273089
SumanaMukherjee;2014-08-07 14:09;0;2;"That'd be @jayaditya :) @FarahGhuznavi : Hilarious account of Indian sports journo's Amazon trek: http://www. livemint.com/Leisure/Xk9GGZ B8aNzz095nRwZmFO/Anavilhanas-Archipelago-Brazil--One-wild-night.html … via @SumanaMukherjee";;@jayaditya @FarahGhuznavi @SumanaMukherjee;;"497301001771032576";https://twitter.com/SumanaMukherjee/status/497301001771032576
JohnLewisBestt;2014-08-07 13:38;0;1;"RT @Makulkarni53 : Indian sports law update via @LawInSport - http://www. lawinsport.com/blog/item/sikh -basketball-players-required-to-remove-turbans-in-controversial-decision?category_id=139 … #Indianbasketball "";;@Makulkarni53 @LawInSport;#Indianbasketball;"497293095827169280";https://twitter.com/JohnLewisBestt/status/497293095827169280
FarahGhuznavi;2014-08-07 13:16;0;0;"Excellent, hilarious account of an Indian sports journalist's first (and last?) Amazon trek: http://www. livemint.com/Leisure/Xk9GGZ B8aNzz095nRwZmFO/Anavilhanas-Archipelago-Brazil--One-wild-night.html … via @SumanaMukherjee";;@SumanaMukherjee;;"497287683626909696";https://twitter.com/FarahGhuznavi/status/497287683626909696
surryapps;2014-08-07 09:05;0;0;"Never seen a video like this I cried fate of most Indian sports man http:// fb.me/3pIqDhslO";;;;"497224389046591488";https://twitter.com/surryapps/status/497224389046591488
mhjowher;2014-08-07 00:01;0;0;"What ails Indian #sports ? Total coverage of all our athletes at Glasgow CWG was far lesser than that given to India-England #cricket test";;;#sports #cricket;"497087643306721280";https://twitter.com/mhjowher/status/497087643306721280
U4U_Voice;2014-08-06 20:35;0;0;"Is Kabaddi Premiere League another addition to great Indian sports saga http:// u4uvoice.com/?p=105148";;;;"497035726769250304";https://twitter.com/U4U_Voice/status/497035726769250304
tina_acharya;2014-08-06 13:27;0;0;"Glasgow CWG 2014: Indian sports officials acquitted but the episode leaves many unanswered questions http:// shar.es/LDwmo via @sharethis";;@sharethis;;"496928131492478976";https://twitter.com/tina_acharya/status/496928131492478976
prasannavishy;2014-08-06 08:16;2;2;"Explaining Indian Sports Weakness through Economics http:// centreright.in/2014/08/explai ning-indian-sports-weakness-through-economics/#.U-GW2eOSxxw …";;;#;"496849690017550336";https://twitter.com/prasannavishy/status/496849690017550336
MrMarwah;2014-08-05 23:02;0;0;"@timesnow Why dont you conduct a debate on How messy Indian Sports Organisation have become robing athletes of medals by involving players.";;@timesnow;;"496710316395200512";https://twitter.com/MrMarwah/status/496710316395200512
SocietyTea;2014-08-05 20:23;0;0;"With 64 medals won in the Glasgow #CommonwealthGames 2014, its #ABrandNewDay in the Indian sports world! pic.twitter.com/WagWo89ESM";;;#CommonwealthGames #ABrandNewDay;"496670449313386497";https://twitter.com/SocietyTea/status/496670449313386497
amargov;2014-08-05 19:52;1;1;"The good @prashantkind offers a sober explanation for alleged Indian sports weakness http:// centreright.in/2014/08/explai ning-indian-sports-weakness-through-economics/#.U-DntPmSwmw …";;@prashantkind;#;"496662427790884864";https://twitter.com/amargov/status/496662427790884864
WSJIndia;2014-08-05 15:08;2;1;"Two Indian sports officials arrested in Scotland during Commonwealth Games http:// on.wsj.com/1kjFzLD";;;;"496590959384481792";https://twitter.com/WSJIndia/status/496590959384481792
DotBall;2014-08-05 13:55;1;0;"There is a promise in India for better days. One can only hope that this flows into Indian sports as well; and that what shou... #SPORTS";;;#SPORTS;"496572779764781057";https://twitter.com/DotBall/status/496572779764781057
ENIN_NewsWaver;2014-08-05 11:53;0;0;"#Sports officials to be produced in court today: The two Indian sports officials arrested here will be produced... http:// bit.ly/1o9BAkW";;;#Sports;"496542008308027393";https://twitter.com/ENIN_NewsWaver/status/496542008308027393
