username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
defence_in;2014-10-16 05:17;0;0;"China expresses concern about Indian border road plan http:// defenceforumindia.com/forum/defence- strategic-issues/64113-china-expresses-concern-about-indian-border-road-plan.html … #IndianDefence";;;#IndianDefence;"522534163178459137";https://twitter.com/defence_in/status/522534163178459137
defence_in;2014-10-16 05:14;1;0;"Navy ready with coastal security hub http:// defenceforumindia.com/forum/indian-n avy/64112-navy-ready-coastal-security-hub.html … #IndianDefence";;;#IndianDefence;"522533555851649024";https://twitter.com/defence_in/status/522533555851649024
defence_in;2014-10-16 05:06;0;0;"Kalyani Group to double revenues from India ops in 4 years http:// defenceforumindia.com/forum/indian-a rmy/64111-kalyani-group-double-revenues-india-ops-4-years.html … #IndianDefence";;;#IndianDefence;"522531447182073856";https://twitter.com/defence_in/status/522531447182073856
DunhillCig;2014-10-15 20:04;0;0;"After reading this article published by the Indian Defence Review, I say we should do our utmost to defend our nation http://www. indiandefencereview.com/news/why-the-e xistence-of-pakistan-is-not-in-indias-interest/ …";;;;"522395056666189824";https://twitter.com/DunhillCig/status/522395056666189824
Saket_H;2014-10-15 19:58;0;0;"Indian Defence : Sleaze, Subversion, Sabotage, Supersession and Succession | Canary Trap http://www. canarytrap.in/2014/04/17/ind ian-defence-sleaze-subversion-sabotage-supersession-and-succession/ …";;;;"522393571668672512";https://twitter.com/Saket_H/status/522393571668672512
canarytrap;2014-10-15 19:54;4;1;"In the context of fmr Navy chief's i'view: Indian Defence - Sleaze, Subversion, Sabotage, Supersession and Succession http://www. canarytrap.in/2014/04/17/ind ian-defence-sleaze-subversion-sabotage-supersession-and-succession …";;;;"522392681842880513";https://twitter.com/canarytrap/status/522392681842880513
kenvansom;2014-10-15 16:20;0;1;"Fascinating visit to Indian Defence R&D Organisation (DRDO) in Delhi today: just the 8,000 scientists & >60 y of human performance research!";;;;"522338659932991488";https://twitter.com/kenvansom/status/522338659932991488
JasumatiPatel;2014-10-15 15:22;3;2;"I believe Ex admiral then loser Antony, hope GOI of India will sue Anthony for wrecking Indian Defence ! Sonia & RaGa wants to ruin India";Perth, Western Australia;;;"522324033803526144";https://twitter.com/JasumatiPatel/status/522324033803526144
DefenceReview;2014-10-15 15:00;0;0;"Indian Warships Visit – Mombasa » Indian Defence Review: http://www. indiandefencereview.com/news/indian-wa rships-visit-mombasa/#.VD4-tAJ3UD0.twitter …";;;#;"522318548492771328";https://twitter.com/DefenceReview/status/522318548492771328
SajeevJino;2014-10-15 14:33;0;0;"just replied to a thread at Indian Defence Forum: http:// fb.me/1pRYc33ij";;;;"522311770723987456";https://twitter.com/SajeevJino/status/522311770723987456
DefenceReview;2014-10-15 11:16;1;0;"Al Qaeda’s India Threat » Indian Defence Review: http://www. indiandefencereview.com/news/al-qaedas -india-threat/#.VD4KDDDY0aI.twitter …";;;#;"522262116514811904";https://twitter.com/DefenceReview/status/522262116514811904
darighaznavi;2014-10-15 10:13;0;0;"Why the existence of Pakistan is not in India’s interest » Indian Defence Review: http://www. indiandefencereview.com/news/why-the-e xistence-of-pakistan-is-not-in-indias-interest/#.VD36-ZexUqU.twitter …";;;#;"522246240621195264";https://twitter.com/darighaznavi/status/522246240621195264
rexrao52;2014-10-15 08:28;1;1;"“ @krameshmenon ! RT" @defence_in : Defence Ministry scraps tender for 56 naval helicopters http:// defenceforumindia.com/forum/indian-n avy/64089-defence-ministry-scraps-tender-56-naval-helicopters.html … #IndianDefence ”";;@krameshmenon @defence_in;#IndianDefence;"522219957661102081";https://twitter.com/rexrao52/status/522219957661102081
