username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Rutsinzki;2013-11-19 05:02;0;0;"Attack Helicopters: Should India Have Them? » Indian Defence Review: http://www. indiandefencereview.com/news/attack-he licopters-should-india-have-them/#.UoqjCqwudGA.twitter …";;;#;"402580054481186817";https://twitter.com/Rutsinzki/status/402580054481186817
SACHIN1969;2013-11-19 02:02;0;0;"Hidden Secrets of Nehru-Gandhi Dynasty-- A MUST READ FOR All INDIANS: http://www. indiandefence.com/forums/nationa l-politics/36164-hidden-secrets-nehru-gandhi-dynasty-must-read-all-indians.html#.UopznbOO5oo.twitter … via @indian_defence";;@indian_defence;#;"402534924437028864";https://twitter.com/SACHIN1969/status/402534924437028864
indian_defence;2013-11-19 00:39;0;0;"German footballer turned Islamist killed in Syria http:// dlvr.it/4LWC2f #world";;;#world;"402513975184617472";https://twitter.com/indian_defence/status/402513975184617472
indian_defence;2013-11-19 00:39;0;0;"Buy a mansion, get a Rolls Royce free! http:// dlvr.it/4LWBz6 #world";;;#world;"402513964929540096";https://twitter.com/indian_defence/status/402513964929540096
robin_mahi;2013-11-19 00:32;0;0;"@indian_defence is eye sight a problem if I want to join indian army? i want to serve my country.I want to die fr my country. wht shd I do?";;@indian_defence;;"402512075324657664";https://twitter.com/robin_mahi/status/402512075324657664
indian_defence;2013-11-19 00:29;0;0;"Anna Hazare writes to Arvind Kejriwal, questions the source of AAP's funds http:// dlvr.it/4LW4rs #india";;;#india;"402511454927990784";https://twitter.com/indian_defence/status/402511454927990784
indiacause;2013-11-18 22:22;0;0;"#Vikramaditya to combat Pak, China on high seas, Welcome to the elite club. When Indian Defence Minister A K... http:// fb.me/2N9WhTlsK";;;#Vikramaditya;"402479469178658816";https://twitter.com/indiacause/status/402479469178658816
livefist;2013-11-18 17:36;0;0;"Indian defence minister AK Antony and Russian counterpart discuss FGFA, MTA, Su-30 & T-90 license build projects at 13th IRIGC-MTC.";;;;"402407364344545281";https://twitter.com/livefist/status/402407364344545281
Mahesh_math1;2013-11-18 15:46;0;0;""In the absence of orders,find something and kill it."- Erwin Rommel.What a man he was great. @indian_defence @KiranKS pic.twitter.com/Fq3a8FnFi8";;@indian_defence @KiranKS;;"402379696442048512";https://twitter.com/Mahesh_math1/status/402379696442048512
DeeshankDoshi;2013-11-18 12:26;0;1;"Election outcome of 2014 wll be the most important political event in India@dt795 @Dhakkann_ @S101Sid @indian_defence @AnupamPkher @KushangD";;@dt795 @Dhakkann_ @S101Sid @indian_defence @AnupamPkher @KushangD;;"402329323115249665";https://twitter.com/DeeshankDoshi/status/402329323115249665
Da_Apple_Cut;2013-11-18 10:47;1;0;"True true true rt" @indian_defence : Narendra Modi, Rahul Gandhi not suitable for PM: Arundhati Roy http:// dlvr.it/4LFnzg #india "";;@indian_defence;#india;"402304433972711424";https://twitter.com/Da_Apple_Cut/status/402304433972711424
iampremjain;2013-11-18 10:25;0;0;"Lol " @indian_defence : Narendra Modi is the biggest terrorist in India, says Nitish's minister http:// dlvr.it/4LGs3T #india "";;@indian_defence;#india;"402299025254535168";https://twitter.com/iampremjain/status/402299025254535168
Narainised;2013-11-18 00:11;0;0;"MSM covering Indian Defence in itself a major Security threat. Pak dont need spies in our Army installations,they'll get all intel via @ndtv";;@ndtv;;"402144533233664000";https://twitter.com/Narainised/status/402144533233664000
Mossie633;2013-11-17 21:40;18;9;"「フォックスバット」が着艦、いや、着船！あー、フォックスバットっていっても、MiG-25じゃなくて、フォックスバットA22っていう小型軽飛行機ね。船は９ノットで風上に航行だと。 RT @indian_defence http:// dlvr.it/4L7WTJ #world";;@indian_defence;#world;"402106435309277184";https://twitter.com/Mossie633/status/402106435309277184
AhmedNumen;2013-11-17 20:19;0;0;"WOW, Israel working with Saudi Arabia on Iran strike plan: http://www. indiandefence.com/forums/world-a ffairs/36492-wow-israel-working-saudi-arabia-iran-strike-plan.html#.UojXVXxS2AE.twitter … via @indian_defence";;@indian_defence;#;"402086136996044801";https://twitter.com/AhmedNumen/status/402086136996044801
