username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
defence_in;2015-03-11 05:06;2;0;"Deception, Lies Behind Making of India’s Daughter http:// defenceforumindia.com/forum/internal -security/67035-deception-lies-behind-making-india-s-daughter.html … #IndianDefence";;;#IndianDefence;"575440184994480128";https://twitter.com/defence_in/status/575440184994480128
defencepk;2015-03-10 21:21;1;0;"Sulman Badshah created "108 Indian defence personnel committed suicide in 2014". http:// defence.pk/threads/108-in dian-defence-personnel-committed-suicide-in-2014.363727/ …";;;;"575323186633420801";https://twitter.com/defencepk/status/575323186633420801
DefenceReview;2015-03-10 12:45;2;0;"Airbus will supply intelligent systems ensuring protection against roadside bombs » Indian Defence Review: http://www. indiandefencereview.com/news/airbus-wi ll-supply-intelligent-systems-ensuring-protection-against-roadside-bombs/#.VP6ZoM7ju6M.twitter …";;;#;"575193150479695872";https://twitter.com/DefenceReview/status/575193150479695872
DefenceReview;2015-03-10 12:36;2;0;"MBDA announces the appointment of Dave Armstrong as UK Managing Director » Indian Defence Review: http://www. indiandefencereview.com/news/mbda-anno unces-the-appointment-of-dave-armstrong-as-uk-managing-director/#.VP6XqqB3B30.twitter …";;;#;"575190912801710080";https://twitter.com/DefenceReview/status/575190912801710080
DefenceReview;2015-03-10 12:23;1;1;"India and the Maldives: Not Just Another Day in Paradise » Indian Defence Review: http://www. indiandefencereview.com/news/india-and -the-maldives-not-just-another-day-in-paradise/#.VP6Uyw0nG3k.twitter …";;;#;"575187603978256384";https://twitter.com/DefenceReview/status/575187603978256384
gthirukkannan;2015-03-10 10:46;0;0;"Abilities of an Officer for Indian Defence Services. It’s the dream of every youth to have that uniform on the... http:// fb.me/6t8N1M3g2";;;;"575163187902853120";https://twitter.com/gthirukkannan/status/575163187902853120
Zarvan3;2015-03-10 09:31;0;0;"http:// defence.pk/threads/shahee n-iii-missile-can-reach-deep-into-the-middle-east-including-israel.363611/#post-6879004 … Pakistan tests missile that could carry nuclear warhead to every part of India @RegaJha @indian_defence @AQpk";;@RegaJha @indian_defence @AQpk;#post;"575144419742982144";https://twitter.com/Zarvan3/status/575144419742982144
geoindica;2015-03-10 09:15;0;0;"High-level Indian defence panel to identify shipyards for Navy's P75-I project soon: Report http:// bit.ly/1F5uRQY";;;;"575140360529252352";https://twitter.com/geoindica/status/575140360529252352
defence_in;2015-03-10 08:06;7;1;"Masked gunmen open fire near Qutub Minar, 1 dead http:// defenceforumindia.com/forum/internal -security/67023-masked-gunmen-open-fire-near-qutub-minar-1-dead.html … #IndianDefence";;;#IndianDefence;"575122995141734400";https://twitter.com/defence_in/status/575122995141734400
defence_in;2015-03-10 05:16;1;0;"2015 Chinese New Year Gala http:// defenceforumindia.com/forum/china/67 022-2015-chinese-new-year-gala.html … #IndianDefence";;;#IndianDefence;"575080129690386432";https://twitter.com/defence_in/status/575080129690386432
NavalNews;2015-03-09 21:25;0;0;"( Indian) Defence committee report on shipyards for P75-I project soon via @firstpostin http://www. firstpost.com/india/defence- committee-report-shipyards-p75-project-soon-2144017.html …";;@firstpostin;;"574961793447104514";https://twitter.com/NavalNews/status/574961793447104514
Souvik_Norad;2015-03-09 19:22;1;0;"Light Combat Helicopter #MadeInIndia #HAL #IndianDefence http:// fb.me/6tFq3kVg2";;;#MadeInIndia #HAL #IndianDefence;"574930811583004673";https://twitter.com/Souvik_Norad/status/574930811583004673
